ID_REF,Label,#Unique,#1-Method,#2-Methods,#3-Methods,#4-Methods,P-CEIN Pos,P-CEIN Neg,KNN-RBH,NPC-1,ClusterPath
AT5G44200,Germination,5807,4086,1069,555,97,3966,55,787,1070,2399
AT2G44950,Dormancy,4040,2576,931,439,94,867,3,1127,1068,3066
AT5G40280,Germination,3928,2777,767,314,70,640,2,647,1073,3171
AT5G06100,Dormancy,3851,2778,685,323,65,1128,8,678,1029,2534
AT2G38050,Germination,5037,3725,925,340,47,3238,141,655,1039,1710
AT3G51770,Dormancy,3182,2338,561,236,47,1179,2,589,1042,1544
AT3G50500,Dormancy,3988,2925,774,247,42,429,1,732,1049,3171
AT2G01830,Dormancy,3660,2692,610,318,40,903,14,475,1053,2581
AT5G08620,Dormancy,5767,4141,1066,525,35,3539,170,832,1048,2399
AT2G23460,Germination,4070,2983,731,321,35,941,0,712,1037,2858
AT1G27320,Dormancy,2916,2059,491,335,31,500,1,1119,1069,1481
AT3G11240,Germination,3881,3093,590,169,29,228,6,409,1082,3171
AT2G41430,Germination,2557,1875,494,159,29,921,5,308,1059,1163
AT2G33610,Dormancy,5196,3909,886,373,28,2425,12,567,1050,2858
AT5G03280,Germination,3450,2868,386,168,28,1357,55,408,1083,1353
AT2G31660,Germination,5207,3937,908,336,26,3624,110,779,1073,1279
AT4G25700,Dormancy,3155,2355,544,233,23,1504,8,441,1007,1274
AT1G10430,Germination,3220,2575,503,119,23,494,0,658,1077,1801
AT1G01360,Dormancy,3244,2294,690,243,17,402,1,1194,1036,1838
AT4G11110,Dormancy,3744,2644,842,244,14,435,5,1216,1026,2434
AT5G48870,Germination,5935,3792,1342,788,13,4582,130,1222,1076,1882
AT5G13530,Germination,2871,2061,569,228,13,666,2,1165,1032,1070
AT1G54160,Germination,3760,3116,487,145,12,1036,41,180,1025,2291
AT1G79460,Germination,2786,2142,512,121,11,277,1,662,1094,1539
AT5G57390,Dormancy,2976,2383,463,119,11,706,17,421,1037,1529
AT5G60410,Dormancy,3085,2133,743,199,10,296,0,1180,1062,1718
AT3G63520,Dormancy,4139,3167,804,158,10,349,6,784,1084,3066
AT2G26300,Germination,3054,2477,444,124,9,564,1,145,1065,1998
AT1G31930,Germination,3097,2458,507,123,9,290,4,549,1053,1981
AT4G34390,Germination,2360,1862,372,121,5,157,2,954,1079,797
AT5G02310,Germination,2689,2057,512,115,5,85,1,830,1049,1481
AT5G05700,Germination,2868,2271,510,82,5,53,1,901,1075,1527
AT4G18130,Germination,3013,1975,782,252,4,676,33,1099,1013,1490
AT2G43790,Dormancy,3570,2708,723,135,4,87,1,1008,1045,2434
AT1G52340,Dormancy,2348,1954,295,95,4,158,5,352,1014,1316
AT3G47620,Germination,2442,1981,342,116,3,571,7,126,1077,1244
AT1G55870,Germination,2345,1806,442,94,3,82,1,486,1062,1353
AT5G63320,Dormancy,1911,1640,204,64,3,206,3,239,1063,741
AT3G04870,Dormancy,2781,2379,342,57,3,182,3,865,1046,1150
AT5G20910,Germination,2641,2000,392,247,2,584,28,680,1065,1176
AT1G48270,Dormancy,3674,2791,679,202,2,956,4,449,1030,2324
AT3G20770,Dormancy,2835,2041,605,187,2,890,1,1189,996,744
AT3G11540,Dormancy,2522,2035,407,78,2,248,3,1049,985,806
AT1G31970,Dormancy,5814,3861,1319,633,1,4650,80,1122,1090,1460
AT4G17870,Dormancy,3873,2617,716,539,1,2261,367,835,1043,1164
