ID_REF,Label,#Unique,#1-Method,#2-Methods,#3-Methods,#4-Methods,P-CEIN Pos,P-CEIN Neg,KNN-RBH,NPC-1,ClusterPath
AT1G72770,Germination,2675,1890,555,229,1,475,1,721,1006,1488
AT2G28350,Dormancy,2942,2460,411,70,1,1769,25,319,1020,363
AT3G11410,Germination,2734,2372,315,46,1,559,0,1039,1058,488
AT1G13740,Germination,2155,1751,365,38,1,601,2,237,1008,751
AT5G25900,Germination,1511,1421,82,7,1,24,0,179,1068,339
AT3G51880,Dormancy,3265,2239,618,408,0,1012,16,824,1009,1838
AT5G17490,Dormancy,3705,2714,614,377,0,2143,326,737,1051,816
AT1G16540,Dormancy,3946,3013,563,370,0,726,1156,883,996,1488
AT5G67030,Dormancy,2691,1781,565,345,0,1048,27,690,1032,1149
AT5G51760,Germination,2547,1839,402,306,0,807,18,562,1025,1149
AT5G20960,Dormancy,2496,1762,450,284,0,929,57,602,1005,921
AT4G01026,Dormancy,2640,1741,618,281,0,1124,5,538,1004,1149
AT1G48630,Germination,5241,3837,1126,278,0,3857,305,1253,1078,430
AT4G16250,Germination,3181,2510,428,243,0,791,744,687,1027,846
AT3G05120,Germination,2916,2088,617,211,0,933,3,842,1015,1162
AT2G30250,Germination,3158,2548,407,203,0,594,374,626,1037,1340
AT3G03450,Dormancy,4378,3452,727,199,0,3402,97,566,1063,375
AT2G38310,Dormancy,4505,3467,850,188,0,2900,456,1054,1034,287
AT5G35750,Dormancy,3333,2629,521,183,0,1349,207,441,1032,1191
AT4G36930,Dormancy,4000,3079,747,174,0,2720,74,968,1038,295
AT1G14920,Dormancy,3189,2523,511,155,0,1909,18,330,1056,697
AT5G46790,Dormancy,3274,2675,449,150,0,1776,24,855,1063,305
AT1G80340,Germination,3177,2749,281,147,0,2039,50,273,1033,357
AT2G36270,Dormancy,2678,2070,464,144,0,941,3,542,1023,921
AT1G18080,Germination,4861,3607,1113,141,0,3718,267,946,1015,310
AT2G21660,Germination,4821,3751,929,141,0,3850,109,718,1067,288
AT5G52570,Dormancy,2498,2052,312,134,0,767,480,572,1000,259
AT1G09570,Germination,4571,3507,931,133,0,3649,64,677,1028,350
AT1G78390,Dormancy,2195,1727,350,118,0,904,2,512,996,367
AT2G04240,Dormancy,2678,2148,425,105,0,617,1,542,1031,1122
AT2G32460,Dormancy,3566,3057,425,84,0,226,363,416,1083,2071
AT5G57050,Germination,2511,2213,215,83,0,511,747,385,1056,193
AT1G66350,Dormancy,4023,3356,587,80,0,2739,58,766,1071,136
AT1G15550,Germination,2766,2467,223,76,0,1491,6,389,1064,191
AT2G40330,Dormancy,1839,1573,198,68,0,377,2,502,1071,221
AT1G03790,Dormancy,2592,2099,426,67,0,758,1,346,1040,1007
AT5G45830,Dormancy,2201,1958,182,61,0,982,12,290,1034,187
AT5G53160,Dormancy,3782,2863,861,58,0,2515,73,963,1028,180
AT4G25420,Germination,4148,3451,641,56,0,2721,258,620,1049,253
AT3G24650,Dormancy,2238,1871,315,52,0,992,6,230,1066,363
AT3G51920,Germination,3747,3426,273,48,0,286,2043,493,1013,281
AT5G66880,Dormancy,2200,1856,300,44,0,131,24,615,1082,736
AT4G09570,Dormancy,2929,2459,429,41,0,82,4,375,1025,1954
AT2G01570,Dormancy,2150,1938,180,32,0,486,10,85,1036,777
AT1G15100,Dormancy,1837,1636,174,27,0,253,17,639,1036,120
AT2G20180,Dormancy,2170,1896,248,26,0,128,11,68,1067,1196
AT2G27300,Dormancy,2706,2358,326,22,0,1566,11,327,1064,108
AT3G54810,Germination,1381,1312,52,17,0,176,7,218,1029,37
AT5G45860,Dormancy,1357,1294,46,17,0,153,70,142,1024,48
AT3G63010,Germination,2759,2358,386,15,0,1322,27,741,1047,38
AT1G69260,Germination,1815,1671,130,14,0,328,2,443,1011,189
AT5G37260,Dormancy,4326,4030,285,11,0,423,2672,375,1046,117
AT2G25490,Germination,2190,1952,227,11,0,4,0,404,1062,969
AT3G62090,Dormancy,1626,1472,145,9,0,496,6,239,1023,25
AT4G33950,Dormancy,1775,1660,106,9,0,88,5,173,1023,610
AT3G59220,Germination,1948,1864,76,8,0,113,747,118,1045,17
AT2G29090,Germination,1346,1292,47,7,0,63,71,220,1009,44
AT2G26040,Dormancy,1512,1448,59,5,0,109,7,314,1035,116
AT1G22770,Germination,1433,1395,34,4,0,17,8,97,1036,317
AT5G05440,Dormancy,2387,2060,324,3,0,0,1,100,1009,1607
AT2G40220,Dormancy,2493,2344,147,2,0,13,5,179,1072,1375
AT1G30040,Germination,1651,1548,101,2,0,679,3,38,1027,9
AT5G51810,Germination,3628,3283,344,1,0,2628,64,232,1047,3
AT4G26070,Dormancy,1238,1202,35,1,0,34,7,5,1043,186
AT4G18620,Dormancy,1925,1802,123,0,0,816,4,165,1055,8
AT5G25350,Germination,1409,1311,98,0,0,0,4,43,1070,390
AT1G01060,Dormancy,1539,1482,57,0,0,0,22,20,1083,471
AT2G46830,Dormancy,1320,1270,50,0,0,0,31,133,1032,174
AT3G24220,Dormancy,1326,1277,49,0,0,312,1,17,1035,10
