ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT2G01400,Candidate,"[3, 0]",3,3,0,0.8828568921718523,0.027484484218993733,0.917284929532123,0.850018277758834
AT2G01440,Candidate,"[8, 5]",13,13,0,0.8907453132316403,0.03675960210108504,0.9545744318777172,0.8430137341516472
AT2G01450,Candidate,"[3, 1]",4,4,0,0.8750271479871852,0.02180894109529449,0.9108561695250637,0.8539908227084203
AT2G01460,Candidate,"[10, 3]",13,13,0,0.8948476821477431,0.03372189300339177,0.949324061629644,0.8470183554005339
AT2G01480,Candidate,"[2, 0]",2,2,0,0.8916028428870841,0.03268625855118584,0.92428910143827,0.8589165843358983
AT2G01490,Candidate,"[8, 7]",15,9,6,0.8847489864102333,0.03577381334443519,0.9745067221649643,0.8422818703424336
AT2G01505,Candidate,"[8, 7]",15,10,5,0.8770590695703255,0.035973719980921026,0.9501796526473497,0.8404315653957543
AT2G01510,Candidate,"[7, 8]",15,11,4,0.897830734794833,0.027812308608696906,0.9406927462672201,0.8555814768326511
AT2G01540,Candidate,"[4, 5]",9,8,1,0.8831422090319551,0.0269955916888893,0.9268063600300356,0.8445729721832801
AT2G01570,Dormancy,"[4, 1]",496,486,10,0.867339029662623,0.02183597484278668,0.9494713495699402,0.840085072112525
AT2G01590,Candidate,"[1, 0]",1,1,0,0.8914044234479949,0.0,0.8914044234479949,0.8914044234479949
AT2G01600,Candidate,"[1, 1]",2,2,0,0.8489850022076229,0.007944521255601245,0.8569295234632242,0.8410404809520217
AT2G01620,Candidate,"[5, 7]",12,12,0,0.8736800579776203,0.02586607477630269,0.9276931786717324,0.8421275114314639
AT2G01630,Candidate,"[12, 13]",25,22,3,0.8974113492585164,0.03370366774747625,0.9639334142630782,0.8467844087067095
AT2G01640,Candidate,"[3, 1]",4,4,0,0.8962820658438985,0.00819048102801559,0.9042220690227144,0.8826903391411767
AT2G01650,Candidate,"[2, 1]",3,3,0,0.871379128346756,0.027967896987022702,0.9108678781121308,0.8496895351496412
AT2G01670,Candidate,"[5, 2]",7,7,0,0.8741077397120911,0.03411498587069935,0.9482204302411601,0.8434305028311412
AT2G01680,Candidate,"[0, 1]",1,1,0,0.8630570090120451,0.0,0.8630570090120451,0.8630570090120451
AT2G01690,Candidate,"[1, 0]",1,1,0,0.8435595066864198,0.0,0.8435595066864198,0.8435595066864198
AT2G01710,Candidate,"[1, 0]",1,1,0,0.8576742190600396,0.0,0.8576742190600396,0.8576742190600396
AT2G01720,Candidate,"[9, 13]",22,20,2,0.9028560347423141,0.03415365662562204,0.9551537246622589,0.8451072497815005
AT2G01730,Candidate,"[1, 4]",5,5,0,0.8940156735041116,0.023564980237791924,0.9318833411391727,0.8662202418498574
AT2G01735,Candidate,"[7, 6]",13,13,0,0.899625314369257,0.03088912521704271,0.95483874112337,0.8561682081320073
AT2G01750,Candidate,"[7, 7]",14,14,0,0.8862642800818764,0.03412006135858406,0.9543728382955109,0.8417035350321826
AT2G01755,Candidate,"[2, 1]",3,3,0,0.8706978261414363,0.01853951794701164,0.8920165441494411,0.8468208733536648
