ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G01060,Dormancy,"[64, 49]",16427,2436,13991,0.275173665388051,0.1890825828629277,0.9016071299449818,1.6778514156401813e-06
AT1G01010,Candidate,"[65, 49]",114,77,37,0.3468105878414892,0.2394692980175883,0.8853502823179474,0.00037770663847550527
AT1G01020,Candidate,"[65, 49]",114,75,39,0.3903028311043734,0.21530877250055908,0.9212418323943756,0.0013090956553704776
AT1G01030,Candidate,"[65, 49]",114,72,42,0.4365660856630246,0.21647541487909536,0.8294450766990134,0.006541147387547005
AT1G01040,Candidate,"[65, 49]",114,91,23,0.3789752049872689,0.25771005921378254,0.9180607321064059,0.007344159351025955
AT1G01050,Candidate,"[65, 49]",114,81,33,0.41983585597105694,0.221584160232943,0.9428585124157849,0.00036121946477782736
AT1G01080,Candidate,"[65, 49]",114,65,49,0.5729843523165585,0.28041916640107306,0.9814104936618471,0.010981797095215405
AT1G01090,Candidate,"[65, 49]",114,64,50,0.5750847126973784,0.28244152898157854,0.9875804683791494,0.00012003262015748571
AT1G01100,Candidate,"[65, 49]",114,66,48,0.5706495639430846,0.2953544275645487,0.9830580477906998,0.017574486121749503
AT1G01110,Candidate,"[65, 49]",114,63,51,0.5709066066994073,0.2651966258846085,0.9708363433581039,0.009270959922777572
AT1G01120,Candidate,"[65, 49]",114,64,50,0.2409672351718348,0.17651291713906853,0.875582447492177,0.004871161125314827
AT1G01130,Candidate,"[65, 49]",114,82,32,0.3507488638684433,0.2217971783325235,0.871556341475508,0.0033264399786318076
AT1G01140,Candidate,"[65, 49]",114,73,41,0.429375137248709,0.24203454688279535,0.9110838270521819,0.0038871460997712197
AT1G01160,Candidate,"[65, 49]",114,89,25,0.3877387835468233,0.27488952187557975,0.926710193691774,0.008315375650467588
AT1G01170,Candidate,"[65, 49]",114,63,51,0.4567303570106934,0.2597928543206372,0.9313338970826769,0.018049875019238354
AT1G01180,Candidate,"[65, 49]",114,54,60,0.4402336434387192,0.22336435059911192,0.8879764928489703,0.014657467515919809
AT1G01200,Candidate,"[65, 49]",114,55,59,0.3725201868824849,0.22151457171909747,0.8668276222787624,0.01640220220435375
AT1G01210,Candidate,"[65, 49]",114,74,40,0.47743045290547315,0.2333682748234858,0.8542658069764412,0.00811363493348983
AT1G01220,Candidate,"[65, 49]",114,62,52,0.5328839085441063,0.2532847731320724,0.9453023189632239,0.0098300388957219
AT1G01225,Candidate,"[65, 49]",114,48,66,0.2880057679274358,0.19153601349114252,0.7980467127346869,0.01045697369668817
AT1G01230,Candidate,"[65, 49]",114,79,35,0.4186967415670369,0.2633520454482331,0.9432441558854304,0.009771196396120028
AT1G01240,Candidate,"[65, 49]",114,73,41,0.46090402251447055,0.28243480156795886,0.96607442814914,0.004731413494404334
AT1G01250,Candidate,"[65, 49]",114,85,29,0.3857479210434982,0.27267158593715685,0.9333387219808112,0.006239616689789171
AT1G01260,Candidate,"[65, 49]",114,91,23,0.39782194174846663,0.2519354043691331,0.9117081646649267,0.003046326379267957
AT1G01290,Candidate,"[65, 49]",114,64,50,0.557275811519775,0.28364346753906233,0.9629423679968832,0.005460755402808611
AT1G01300,Candidate,"[65, 49]",114,61,53,0.5606397234287904,0.27205755878354604,0.9665922691570479,0.0016190330716366265
AT1G01310,Candidate,"[65, 49]",114,37,77,0.1867065234642286,0.13316127254542348,0.6123515751205202,0.0027287226555445785
AT1G01320,Candidate,"[65, 49]",114,63,51,0.5626205033675222,0.27258780418165635,0.9607292303384892,0.01678380896455533
AT1G01340,Candidate,"[65, 49]",114,57,57,0.28137554746396776,0.19347346037177304,0.7740756362045144,0.0015996840499071453
AT1G01350,Candidate,"[65, 49]",114,71,43,0.39472821645463435,0.22686867987870948,0.8971250530190339,0.0034418771669508523
AT1G01355,Candidate,"[65, 49]",114,57,57,0.5589186870613667,0.2445561469696227,0.9433583554955611,0.0009431556748099162
AT1G01360,Dormancy,"[64, 49]",16427,9368,7059,0.34523209038274033,0.23585599440389024,0.9810548899557386,9.755115881609607e-05
AT1G01370,Candidate,"[65, 49]",114,67,47,0.5128923027743142,0.2555697077417929,0.9387582801163072,0.001626693829155045
AT1G01420,Candidate,"[65, 49]",114,63,51,0.38983342249069214,0.2002346696721726,0.7488501584914274,0.016614888394687024
AT1G01430,Candidate,"[65, 49]",114,61,53,0.5726758705273574,0.2603192422673957,0.9791212854074142,0.011915272007009226
AT1G01440,Candidate,"[65, 49]",114,91,23,0.3195723255434117,0.19290146022915727,0.7871081022951963,0.0004931477396947779
AT1G01470,Candidate,"[65, 49]",114,56,58,0.5420421300076226,0.25946394242680065,0.9422960843517151,0.011685694046389729
AT1G01480,Candidate,"[65, 49]",114,70,44,0.473131579911718,0.28293442502210553,0.9550020975204059,0.005080675487680519
AT1G01490,Candidate,"[65, 49]",114,68,46,0.5116157312046072,0.2707834038049971,0.9168399910556836,0.01809836471185241
AT1G01500,Candidate,"[65, 49]",114,86,28,0.41994324678566053,0.2727264213469593,0.9498624044987456,0.004640114508192892
AT1G01510,Candidate,"[65, 49]",114,64,50,0.5660238535924893,0.29724826801396914,0.9910735570517903,0.006681884843405235
AT1G01520,Candidate,"[65, 49]",114,88,26,0.4183854722103211,0.26739105142515635,0.9633002228729397,0.00845204224984593
AT1G01540,Candidate,"[65, 49]",114,75,39,0.4249442312782403,0.22521966747127992,0.8437384116339278,0.030956658494754284
AT1G01550,Candidate,"[65, 49]",114,57,57,0.476855122446985,0.2376522412271445,0.9103162082313679,0.006698419542483705
AT1G01570,Candidate,"[65, 49]",114,84,30,0.27321839352617705,0.16642096286956332,0.6406013533523166,0.0025662631979524483
AT1G01580,Candidate,"[65, 49]",114,36,78,0.31521579112163656,0.19795850566104825,0.792341718649146,0.005751666721384371
AT1G01600,Candidate,"[65, 49]",114,66,48,0.48136317134445933,0.23047838242661592,0.879074036641471,0.011068827805661834
AT1G01610,Candidate,"[65, 49]",114,68,46,0.5147932592113654,0.2578815008505992,0.9431953172639898,0.012586571576081057
AT1G01620,Candidate,"[65, 49]",114,63,51,0.5020930958871463,0.23407005359527236,0.9225286365337932,0.021196191664881958
AT1G01630,Candidate,"[65, 49]",114,59,55,0.5388135670864608,0.22368689771708436,0.9077131094381966,0.030059341174817948
AT1G01640,Candidate,"[65, 49]",114,92,22,0.40956397445861564,0.24812929252761887,0.9015511004494767,3.670385785222251e-05
AT1G01650,Candidate,"[65, 49]",114,72,42,0.42003650214639277,0.2490592857734662,0.9041390716680595,0.001289355034625991
AT1G01690,Candidate,"[65, 49]",114,74,40,0.4559695912046633,0.23913663623590375,0.8551117456832462,0.012827446436916506
AT1G01710,Candidate,"[65, 49]",114,89,25,0.4012995156339923,0.23493302289040216,0.8249892513370044,0.0060572381837032075
AT1G01720,Candidate,"[65, 49]",114,67,47,0.49542202795015944,0.28012952694369464,0.9829883359653984,0.0014228730603309462
AT1G01725,Candidate,"[65, 49]",114,82,32,0.39427376264129044,0.2549370045826085,0.8965458731264632,0.00030302094649384135
AT1G01730,Candidate,"[65, 49]",114,85,29,0.4246385080334277,0.2648639585094086,0.9421217813246108,0.0028197119628568233
AT1G01740,Candidate,"[65, 49]",114,70,44,0.5073326367125747,0.268171829424045,0.9218041762905282,0.022956317187914695
AT1G01760,Candidate,"[65, 49]",114,70,44,0.47101100586156286,0.2632036184824608,0.850137396523496,0.0065610407564663
AT1G01770,Candidate,"[65, 49]",114,81,33,0.3852377062558423,0.22677254855127463,0.9111572698466253,0.0035808733178124682
AT1G01780,Candidate,"[65, 49]",114,93,21,0.2926698163252052,0.17398309089088462,0.7588493061445336,0.019722666571138938
AT1G01790,Candidate,"[65, 49]",114,69,45,0.5507466835466573,0.283777163115396,0.9696632020879408,0.0021882895171966353
AT1G01800,Candidate,"[65, 49]",114,57,57,0.42660160082696086,0.20062530413863713,0.7999394165891864,0.012700935770312375
AT1G01810,Candidate,"[65, 49]",114,56,58,0.3444719335819722,0.22159247977189525,0.879655176608872,0.0005429475875411768
AT1G01820,Candidate,"[65, 49]",114,84,30,0.4109243216647624,0.27216814335183886,0.9564312822098121,0.0008872701512380412
AT1G01830,Candidate,"[65, 49]",114,73,41,0.4726392775269574,0.2523659818134392,0.9042428581515115,0.004253459037597955
AT1G01840,Candidate,"[65, 49]",114,75,39,0.4033154466973857,0.20594948098537028,0.8460482631920572,0.0005421788816292489
AT1G01860,Candidate,"[65, 49]",114,67,47,0.541613456469196,0.29969618370058265,0.9599840964542878,0.002748279471229535
AT1G01880,Candidate,"[65, 49]",114,77,37,0.22634790176117325,0.14073084097436897,0.6346576787925075,0.006863807819178507
AT1G01900,Candidate,"[65, 49]",114,34,80,0.27915734210356213,0.19834290578022196,0.7491707099768824,0.003820886423476626
AT1G01910,Candidate,"[65, 49]",114,56,58,0.44753644856027297,0.2392260309370987,0.9154169159488417,0.003038581561177571
AT1G01920,Candidate,"[65, 49]",114,79,35,0.5012724365822856,0.28257430374078346,0.928054783574123,0.004996733413762935
AT1G01930,Candidate,"[65, 49]",114,72,42,0.4378583978326294,0.25650660182154444,0.9074045238990895,0.004244511021673929
AT1G01940,Candidate,"[65, 49]",114,100,14,0.2876792721164901,0.18926412175892532,0.788445996475151,0.009376993353646258
AT1G01950,Candidate,"[65, 49]",114,65,49,0.5456648994890203,0.27170841704288967,0.9659974205469178,0.01340397086534489
AT1G01960,Candidate,"[65, 49]",114,73,41,0.496568790878594,0.27538593320366866,0.963384927784179,0.0006414338429384855
AT1G01970,Candidate,"[65, 49]",114,57,57,0.5120133195001794,0.21383950084873712,0.8428387148160449,0.021150032500938835
