ID_REF,Label,#Unique,#1-Method,#2-Methods,#3-Methods,#4-Methods,P-CEIN Pos,P-CEIN Neg,KNN-RBH,NPC-1,ClusterPath
AT4G33950,Dormancy,1772,1659,103,10,0,88,5,173,1023,606
AT1G69260,Germination,1745,1633,105,7,0,328,2,443,1011,80
AT3G59220,Germination,1947,1863,77,7,0,113,747,118,1045,15
AT2G29090,Germination,1346,1292,47,7,0,63,71,220,1009,44
AT2G26040,Dormancy,1508,1442,61,5,0,109,7,314,1035,114
AT1G22770,Germination,1455,1416,35,4,0,17,8,97,1036,340
AT5G05440,Dormancy,2368,2051,315,2,0,0,1,100,1009,1577
AT2G40220,Dormancy,2485,2336,147,2,0,13,5,179,1072,1367
AT5G51810,Germination,3628,3283,344,1,0,2628,64,232,1047,3
AT3G24220,Dormancy,1337,1286,50,1,0,312,1,17,1035,24
AT4G26070,Dormancy,1243,1208,34,1,0,34,7,5,1043,190
AT4G18620,Dormancy,1925,1802,123,0,0,816,4,165,1055,8
AT1G30040,Germination,1647,1545,102,0,0,679,3,38,1027,2
AT5G25350,Germination,1402,1309,93,0,0,0,4,43,1070,378
AT1G01060,Dormancy,1544,1483,61,0,0,0,22,20,1083,480
AT2G46830,Dormancy,1317,1266,51,0,0,0,31,133,1032,172
