ID_REF	#Dormancy_Neighbors	#Germination_Neighbors	#UniqueNeighbors	1-Neighborhood
AT1G02100	None	[11]	11	AT3G63010,AT1G72770,AT3G11240,AT4G16250,AT5G48870,AT5G03280,AT2G25490,AT5G51810,AT2G26300,AT5G20910,AT4G34390
AT1G02130	[17]	[10]	27	AT1G78390,AT5G63320,AT1G52340,AT2G43790,AT2G04240,AT1G01060,AT5G06100,AT4G17870,AT4G26070,AT5G45830,AT1G48270,AT5G57390,AT2G01830,AT4G01026,AT3G51880,AT5G46790,AT3G63520/AT1G72770,AT1G13740,AT1G80340,AT5G03280,AT2G21660,AT1G79460,AT1G15550,AT5G51760,AT1G30040,AT5G05700
AT1G02140	[14]	[19]	33	AT1G78390,AT2G26040,AT2G20180,AT2G04240,AT2G40330,AT5G53160,AT2G01570,AT4G11110,AT5G45830,AT3G50500,AT3G04870,AT2G27300,AT5G57390,AT2G28350/AT3G05120,AT2G38050,AT3G11240,AT1G69260,AT5G03280,AT1G55870,AT1G79460,AT1G30040,AT5G44200,AT1G13740,AT1G18080,AT3G47620,AT3G63010,AT5G57050,AT2G23460,AT2G26300,AT5G25350,AT5G25900,AT5G51810
AT1G02160	None	[19]	19	AT3G05120,AT1G31930,AT1G22770,AT1G80340,AT5G20910,AT3G54810,AT3G63010,AT5G57050,AT2G23460,AT2G26300,AT5G51760,AT1G10430,AT4G34390,AT2G41430,AT5G48870,AT2G31660,AT2G25490,AT5G05700,AT5G13530
AT1G02170	[13]	None	13	AT5G37260,AT1G14920,AT2G26040,AT4G17870,AT2G38310,AT5G45830,AT2G36270,AT5G57390,AT5G35750,AT5G67030,AT3G51880,AT5G52570,AT3G63520
AT1G02270	[21]	None	21	AT1G01060,AT4G11110,AT5G17490,AT3G24650,AT1G15100,AT1G52340,AT4G25700,AT2G38310,AT5G66880,AT5G67030,AT5G37260,AT2G26040,AT5G06100,AT3G24220,AT4G17870,AT4G18620,AT5G35750,AT3G11540,AT2G40220,AT4G36930,AT5G45860
AT1G02305	[14]	[20]	34	AT3G20770,AT5G37260,AT5G05440,AT1G52340,AT2G40330,AT1G66350,AT4G26070,AT3G50500,AT3G04870,AT5G35750,AT3G11540,AT4G01026,AT3G03450,AT3G63520/AT3G05120,AT2G38050,AT3G11240,AT1G69260,AT1G09570,AT5G02310,AT1G30040,AT5G44200,AT1G80340,AT3G11410,AT1G18080,AT5G20910,AT3G47620,AT3G63010,AT2G26300,AT5G51760,AT1G10430,AT5G25350,AT5G25900,AT5G05700
AT1G02475	[14]	[12]	26	AT5G08620,AT1G78390,AT3G20770,AT1G14920,AT4G11110,AT5G20960,AT5G45830,AT5G17490,AT4G36930,AT3G24650,AT2G01830,AT4G01026,AT5G46790,AT3G63520/AT3G63010,AT2G38050,AT1G22770,AT5G57050,AT1G18080,AT3G59220,AT5G02310,AT2G26300,AT1G48630,AT1G10430,AT5G13530,AT5G44200
AT1G02560	[17]	[12]	29	AT1G01360,AT1G15100,AT5G08620,AT5G06100,AT3G24220,AT4G17870,AT2G44950,AT4G18620,AT3G50500,AT3G62090,AT1G48270,AT2G27300,AT1G27320,AT3G51880,AT5G52570,AT4G33950,AT5G45860/AT1G72770,AT4G16250,AT3G11240,AT1G69260,AT3G51920,AT5G03280,AT2G21660,AT4G18130,AT1G79460,AT4G25420,AT5G51810,AT5G13530
AT1G02680	[17]	[15]	32	AT1G01360,AT1G15100,AT5G37260,AT1G14920,AT5G53160,AT4G17870,AT1G66350,AT4G11110,AT5G60410,AT1G31970,AT2G36270,AT5G17490,AT5G66880,AT3G11540,AT4G01026,AT5G67030,AT2G28350/AT5G40280,AT3G11240,AT3G51920,AT5G25350,AT5G48870,AT3G11410,AT2G31660,AT4G25420,AT1G54160,AT2G25490,AT1G15550,AT5G02310,AT5G51760,AT1G30040,AT4G34390
AT1G02740	[13]	None	13	AT1G78390,AT3G20770,AT4G09570,AT2G20180,AT3G24220,AT5G06100,AT4G25700,AT2G38310,AT5G60410,AT3G62090,AT3G24650,AT4G36930,AT5G45860
AT1G02770	None	[11]	11	AT3G54810,AT4G16250,AT1G13740,AT5G25350,AT5G57050,AT4G18130,AT1G09570,AT2G25490,AT5G51810,AT2G26300,AT4G34390
