ID_REF	#Dormancy_Neighbors	#Germination_Neighbors	#UniqueNeighbors	1-Neighborhood
AT1G66680	[16]	[17]	33	AT5G08620,AT1G15100,AT1G78390,AT2G32460,AT5G05440,AT5G53160,AT2G01570,AT2G38310,AT2G44950,AT2G46830,AT3G50500,AT4G26070,AT2G33610,AT5G46790,AT4G01026,AT3G03450/AT3G05120,AT5G20910,AT1G72770,AT3G63010,AT3G11240,AT1G69260,AT5G40280,AT2G21660,AT3G59220,AT2G31660,AT1G79460,AT4G25420,AT5G25900,AT2G25490,AT1G15550,AT5G02310,AT1G30040
AT1G66740	None	[16]	16	AT3G63010,AT2G38050,AT4G16250,AT1G69260,AT1G22770,AT1G80340,AT5G03280,AT5G57050,AT4G18130,AT2G31660,AT2G30250,AT1G15550,AT1G31930,AT1G48630,AT5G20910,AT5G44200
AT1G66750	[13]	[13]	26	AT1G01360,AT5G08620,AT5G63320,AT5G06100,AT1G01060,AT5G52570,AT4G11110,AT5G66880,AT1G48270,AT4G01026,AT2G28350,AT1G16540,AT5G45860/AT3G47620,AT2G38050,AT5G48870,AT5G13530,AT2G21660,AT1G18080,AT2G30250,AT1G54160,AT1G31930,AT5G51810,AT1G48630,AT5G05700,AT2G29090
AT1G67140	[23]	[16]	39	AT1G01360,AT1G78390,AT1G14920,AT1G27320,AT2G36270,AT5G17490,AT2G28350,AT1G16540,AT2G20180,AT2G43790,AT5G53160,AT1G31970,AT5G08620,AT5G05440,AT3G63520,AT3G20770,AT5G37260,AT4G17870,AT4G33950,AT5G46790,AT2G44950,AT4G01026,AT5G45860/AT2G41430,AT3G47620,AT3G54810,AT3G63010,AT3G51920,AT5G48870,AT1G13740,AT1G80340,AT5G03280,AT5G57050,AT5G51810,AT3G59220,AT2G23460,AT5G51760,AT5G20910,AT5G44200
AT1G67170	[21]	[14]	35	AT1G14920,AT2G33610,AT2G28350,AT1G16540,AT3G03450,AT2G38310,AT1G31970,AT5G57390,AT5G05440,AT5G37260,AT2G26040,AT5G06100,AT4G17870,AT4G33950,AT3G11540,AT5G52570,AT5G46790,AT2G40220,AT1G48270,AT1G27320,AT5G45860/AT3G05120,AT4G16250,AT2G38050,AT3G51920,AT5G40280,AT5G25350,AT5G03280,AT3G11410,AT1G18080,AT4G18130,AT5G51810,AT1G48630,AT5G05700,AT5G44200
AT1G67210	[20]	[11]	31	AT1G01360,AT1G78390,AT2G36270,AT3G24650,AT2G28350,AT1G15100,AT2G43790,AT2G04240,AT1G03790,AT5G08620,AT5G67030,AT3G51880,AT2G32460,AT2G26040,AT3G24220,AT4G17870,AT2G01570,AT3G51770,AT2G40220,AT1G27320/AT1G72770,AT3G63010,AT5G48870,AT5G03280,AT1G55870,AT3G59220,AT4G18130,AT1G09570,AT2G26300,AT5G20910,AT5G44200
AT1G67230	[13]	[10]	23	AT2G32460,AT3G20770,AT2G40220,AT2G40330,AT4G17870,AT1G66350,AT2G01570,AT2G46830,AT3G51770,AT4G26070,AT3G04870,AT5G17490,AT1G27320/AT4G16250,AT1G69260,AT1G13740,AT1G80340,AT5G48870,AT1G55870,AT4G25420,AT5G25900,AT2G25490,AT2G26300
AT1G67410	[16]	None	16	AT4G09570,AT2G40220,AT2G26040,AT5G06100,AT3G24220,AT1G01060,AT1G66350,AT2G01570,AT5G45830,AT1G31970,AT1G48270,AT2G27300,AT2G33610,AT4G01026,AT1G16540,AT4G33950
AT1G67440	None	[10]	10	AT3G54810,AT5G20910,AT5G40280,AT3G51920,AT1G22770,AT2G21660,AT5G51810,AT5G25900,AT2G23460,AT1G30040
AT1G67490	None	[11]	11	AT3G47620,AT3G54810,AT2G38050,AT3G11240,AT5G25350,AT1G18080,AT1G54160,AT5G25900,AT5G02310,AT1G30040,AT5G05700
AT1G67570	[14]	[10]	24	AT1G15100,AT2G32460,AT4G09570,AT1G52340,AT2G26040,AT2G04240,AT4G17870,AT2G46830,AT5G20960,AT5G45830,AT3G04870,AT1G48270,AT5G67030,AT5G52570/AT3G47620,AT3G63010,AT5G40280,AT3G51920,AT1G69260,AT1G80340,AT1G31930,AT5G51810,AT5G20910,AT5G44200
AT1G67580	[17]	[12]	29	AT1G01360,AT1G78390,AT2G40220,AT2G43790,AT1G01060,AT2G40330,AT4G17870,AT5G52570,AT2G44950,AT2G38310,AT5G60410,AT4G36930,AT1G03790,AT4G33950,AT2G01830,AT3G11540,AT1G16540/AT2G41430,AT5G02310,AT1G80340,AT5G25350,AT1G55870,AT4G25420,AT1G31930,AT2G23460,AT1G48630,AT5G20910,AT5G05700,AT2G29090
AT1G67620	None	[14]	14	AT2G41430,AT3G47620,AT5G02310,AT1G72770,AT2G38050,AT1G69260,AT1G22770,AT5G57050,AT5G13530,AT2G31660,AT1G15550,AT1G31930,AT5G20910,AT4G34390
AT1G67680	[14]	[12]	26	AT1G01360,AT3G20770,AT5G37260,AT1G14920,AT2G26040,AT5G06100,AT3G24220,AT2G40330,AT1G66350,AT2G01570,AT5G17490,AT5G67030,AT5G05440,AT5G45860/AT3G05120,AT3G54810,AT5G40280,AT5G48870,AT1G80340,AT5G25350,AT5G03280,AT3G11410,AT4G18130,AT1G79460,AT1G31930,AT5G51810
AT1G67690	[16]	None	16	AT1G01360,AT1G78390,AT1G52340,AT1G14920,AT2G43790,AT5G06100,AT4G25700,AT2G44950,AT4G11110,AT5G60410,AT3G04870,AT3G24650,AT4G33950,AT5G35750,AT5G66880,AT5G08620
AT1G67730	None	[11]	11	AT3G05120,AT4G16250,AT3G11240,AT1G69260,AT5G48870,AT5G57050,AT1G18080,AT1G79460,AT1G09570,AT1G48630,AT5G20910
AT1G67785	None	[13]	13	AT2G41430,AT3G05120,AT5G20910,AT4G16250,AT5G40280,AT5G51810,AT3G59220,AT4G18130,AT4G25420,AT1G09570,AT1G15550,AT5G02310,AT1G30040
AT1G67810	None	[10]	10	AT5G20910,AT4G16250,AT5G57050,AT1G18080,AT1G54160,AT5G02310,AT5G51760,AT2G30250,AT1G30040,AT4G34390
AT1G67880	[14]	None	14	AT1G78390,AT1G52340,AT1G14920,AT2G40330,AT5G53160,AT4G26070,AT2G46830,AT3G51770,AT3G50500,AT4G36930,AT2G33610,AT5G67030,AT3G03450,AT5G45860
AT1G67890	[15]	[18]	33	AT3G20770,AT5G37260,AT2G43790,AT2G04240,AT4G17870,AT2G01570,AT2G44950,AT1G31970,AT2G36270,AT3G50500,AT1G03790,AT3G62090,AT1G16540,AT3G03450,AT5G45860/AT3G05120,AT3G54810,AT5G20910,AT1G72770,AT2G38050,AT3G51920,AT1G22770,AT1G80340,AT5G57050,AT1G18080,AT4G18130,AT5G25900,AT2G25490,AT2G30250,AT1G30040,AT5G05700,AT2G29090,AT5G44200
AT1G67970	[14]	[12]	26	AT5G37260,AT2G04240,AT4G17870,AT2G01570,AT4G18620,AT2G46830,AT1G31970,AT2G36270,AT3G51770,AT4G36930,AT5G60410,AT5G67030,AT3G51880,AT5G46790/AT3G63010,AT5G48870,AT2G21660,AT1G55870,AT3G59220,AT4G18130,AT4G25420,AT1G09570,AT2G25490,AT5G02310,AT5G51760,AT1G10430
AT1G68000	[18]	[16]	34	AT1G01360,AT3G20770,AT2G40220,AT4G09570,AT5G53160,AT4G17870,AT4G25700,AT1G66350,AT2G01570,AT4G26070,AT5G20960,AT3G04870,AT1G03790,AT4G36930,AT5G66880,AT5G08620,AT3G51880,AT5G05440/AT3G05120,AT1G72770,AT2G38050,AT3G63010,AT1G13740,AT1G22770,AT5G03280,AT5G25350,AT2G21660,AT3G59220,AT4G18130,AT4G25420,AT1G09570,AT2G26300,AT5G51760,AT1G30040
AT1G68100	None	[11]	11	AT3G05120,AT4G16250,AT1G13740,AT1G80340,AT5G25350,AT5G51810,AT2G31660,AT4G25420,AT5G25900,AT2G23460,AT1G10430
AT1G68140	[17]	[14]	31	AT2G40220,AT5G37260,AT5G63320,AT2G20180,AT2G40330,AT5G53160,AT4G17870,AT1G66350,AT2G01570,AT5G60410,AT2G36270,AT2G27300,AT2G01830,AT5G08620,AT5G67030,AT3G51880,AT3G63520/AT2G41430,AT1G72770,AT4G16250,AT5G40280,AT5G48870,AT1G13740,AT1G22770,AT4G18130,AT1G09570,AT1G54160,AT5G51810,AT2G26300,AT1G10430,AT4G34390
AT1G68310	[23]	[14]	37	AT1G01060,AT1G66350,AT2G36270,AT2G01830,AT2G28350,AT3G03450,AT1G15100,AT1G52340,AT2G04240,AT5G53160,AT4G25700,AT5G20960,AT5G08620,AT5G05440,AT3G63520,AT2G26040,AT5G06100,AT4G17870,AT4G18620,AT5G60410,AT3G51770,AT3G62090,AT1G27320/AT3G47620,AT3G63010,AT5G40280,AT1G80340,AT5G03280,AT3G11410,AT4G18130,AT2G31660,AT4G25420,AT2G25490,AT5G51810,AT1G48630,AT1G10430,AT2G29090
AT1G68580	[19]	[20]	39	AT4G09570,AT1G01060,AT2G36270,AT2G33610,AT3G24650,AT2G28350,AT1G16540,AT1G15100,AT2G43790,AT2G38310,AT5G05440,AT2G32460,AT2G26040,AT5G06100,AT2G01570,AT3G51770,AT5G35750,AT1G48270,AT1G27320/AT3G05120,AT2G38050,AT3G11240,AT5G03280,AT1G55870,AT1G31930,AT1G13740,AT1G18080,AT1G48630,AT3G47620,AT2G26300,AT1G10430,AT2G41430,AT5G48870,AT5G25350,AT3G59220,AT2G31660,AT2G25490,AT2G30250,AT5G13530
AT1G68660	[17]	[11]	28	AT1G01360,AT1G78390,AT2G40220,AT1G14920,AT5G06100,AT3G24220,AT4G17870,AT4G25700,AT2G01570,AT5G60410,AT5G45830,AT5G66880,AT1G48270,AT3G24650,AT2G01830,AT5G57390,AT5G46790/AT3G05120,AT3G47620,AT3G54810,AT3G63010,AT5G40280,AT2G21660,AT1G79460,AT1G15550,AT5G02310,AT2G30250,AT1G30040
AT1G68710	[14]	None	14	AT1G78390,AT2G43790,AT2G04240,AT5G35750,AT1G66350,AT2G38310,AT4G18620,AT2G36270,AT5G60410,AT3G04870,AT5G57390,AT2G01830,AT4G01026,AT5G45860
AT1G68720	[20]	[15]	35	AT1G01360,AT4G09570,AT1G66350,AT4G11110,AT2G36270,AT5G17490,AT2G01830,AT2G20180,AT2G38310,AT5G57390,AT5G08620,AT5G67030,AT5G05440,AT3G20770,AT4G17870,AT2G46830,AT5G52570,AT2G44950,AT2G27300,AT5G45860/AT3G63010,AT3G51920,AT4G34390,AT3G11410,AT5G13530,AT1G55870,AT1G79460,AT1G54160,AT2G25490,AT5G25900,AT5G51810,AT2G26300,AT5G51760,AT1G30040,AT2G29090
AT1G68730	None	[10]	10	AT3G05120,AT3G54810,AT1G69260,AT1G13740,AT5G25350,AT3G59220,AT1G79460,AT1G30040,AT5G05700,AT2G29090
AT1G68790	[15]	[13]	28	AT1G01360,AT2G32460,AT1G01060,AT1G66350,AT4G11110,AT5G20960,AT5G60410,AT3G50500,AT4G36930,AT1G48270,AT1G03790,AT5G35750,AT3G11540,AT5G57390,AT5G52570/AT5G02310,AT3G51920,AT5G05700,AT1G13740,AT5G48870,AT5G57050,AT4G18130,AT5G25900,AT1G15550,AT2G23460,AT5G51760,AT1G10430,AT5G44200
AT1G68820	[13]	[14]	27	AT5G37260,AT2G43790,AT2G20180,AT4G17870,AT5G60410,AT5G17490,AT1G03790,AT2G27300,AT5G35750,AT5G67030,AT2G28350,AT5G05440,AT5G45860/AT1G72770,AT4G16250,AT3G51920,AT5G40280,AT1G80340,AT1G13740,AT5G03280,AT5G48870,AT5G57050,AT1G55870,AT2G31660,AT5G02310,AT2G26300,AT5G44200
AT1G68920	[18]	[17]	35	AT1G01360,AT2G32460,AT2G40220,AT5G37260,AT5G35750,AT4G25700,AT1G66350,AT4G18620,AT1G31970,AT3G50500,AT3G62090,AT2G27300,AT4G36930,AT2G01830,AT5G57390,AT2G28350,AT5G52570,AT5G45860/AT2G41430,AT3G54810,AT3G63010,AT2G38050,AT3G11240,AT4G16250,AT1G13740,AT1G22770,AT4G34390,AT4G25420,AT1G54160,AT2G25490,AT2G26300,AT2G30250,AT5G20910,AT5G05700,AT2G29090
AT1G68930	[13]	[10]	23	AT2G40220,AT5G37260,AT5G53160,AT4G17870,AT2G46830,AT1G31970,AT5G45830,AT4G36930,AT2G33610,AT1G03790,AT2G01830,AT4G33950,AT3G63520/AT3G54810,AT2G38050,AT1G69260,AT5G03280,AT2G21660,AT4G18130,AT2G31660,AT1G09570,AT1G54160,AT2G29090
AT1G68990	[15]	None	15	AT1G15100,AT5G63320,AT1G52340,AT2G04240,AT5G53160,AT1G66350,AT4G26070,AT5G45830,AT2G36270,AT3G51770,AT2G33610,AT1G27320,AT3G51880,AT1G16540,AT3G03450
AT1G69010	[15]	None	15	AT5G08620,AT1G78390,AT2G40220,AT2G04240,AT1G66350,AT4G11110,AT5G45830,AT1G31970,AT3G50500,AT3G62090,AT5G46790,AT4G33950,AT5G57390,AT4G01026,AT3G03450
AT1G69020	[19]	[11]	30	AT1G01360,AT1G78390,AT5G63320,AT2G36270,AT2G33610,AT2G28350,AT1G16540,AT2G38310,AT4G26070,AT5G20960,AT5G66880,AT3G63520,AT5G06100,AT2G40330,AT5G35750,AT5G52570,AT3G50500,AT4G36930,AT4G01026/AT3G47620,AT1G72770,AT5G48870,AT5G25350,AT5G03280,AT1G55870,AT4G18130,AT1G79460,AT1G09570,AT5G02310,AT4G34390
AT1G69060	None	[10]	10	AT3G63010,AT4G16250,AT3G51920,AT5G51810,AT4G18130,AT2G31660,AT5G02310,AT2G26300,AT1G48630,AT5G44200
AT1G69070	[21]	[16]	37	AT1G01360,AT1G78390,AT4G09570,AT5G63320,AT1G01060,AT2G33610,AT2G01830,AT1G15100,AT2G04240,AT5G20960,AT1G03790,AT5G57390,AT3G51880,AT5G05440,AT3G63520,AT2G40330,AT5G60410,AT5G35750,AT5G52570,AT4G36930,AT1G27320/AT3G05120,AT3G47620,AT3G54810,AT1G72770,AT4G16250,AT3G51920,AT1G13740,AT1G80340,AT2G21660,AT1G31930,AT5G51810,AT2G26300,AT2G30250,AT1G30040,AT1G10430,AT2G29090
AT1G69210	[18]	[13]	31	AT5G67030,AT2G40220,AT1G52340,AT5G52570,AT4G17870,AT5G45860,AT4G18620,AT5G17490,AT5G46790,AT2G27300,AT5G57390,AT5G35750,AT3G11540,AT1G27320,AT5G66880,AT1G16540,AT3G03450,AT3G63520/AT2G38050,AT3G51920,AT5G40280,AT1G80340,AT5G57050,AT2G21660,AT2G31660,AT2G25490,AT1G31930,AT2G23460,AT5G51760,AT1G30040,AT2G29090
AT1G69220	None	[16]	16	AT5G20910,AT4G16250,AT5G40280,AT1G69260,AT5G03280,AT3G11410,AT5G13530,AT2G21660,AT3G59220,AT4G25420,AT1G15550,AT2G23460,AT1G48630,AT1G30040,AT2G29090,AT5G44200
AT1G69280	[13]	None	13	AT1G01360,AT5G45860,AT2G44950,AT2G01570,AT4G18620,AT3G51770,AT5G17490,AT1G48270,AT1G03790,AT3G24650,AT4G01026,AT5G46790,AT3G63520
AT1G69340	[16]	[14]	30	AT3G20770,AT5G05440,AT1G14920,AT2G04240,AT4G33950,AT2G01570,AT2G38310,AT4G18620,AT3G51770,AT4G26070,AT4G36930,AT1G48270,AT3G24650,AT5G57390,AT2G28350,AT3G03450/AT3G05120,AT3G47620,AT3G54810,AT3G51920,AT5G05700,AT1G13740,AT1G80340,AT5G03280,AT3G11410,AT5G57050,AT2G25490,AT1G15550,AT1G10430,AT4G34390
AT1G69360	[16]	None	16	AT1G01360,AT1G15100,AT1G78390,AT5G63320,AT1G14920,AT2G26040,AT2G40330,AT5G35750,AT4G17870,AT5G46790,AT1G48270,AT1G03790,AT3G24650,AT5G67030,AT3G51880,AT3G03450
AT1G69380	[14]	[10]	24	AT1G01360,AT1G52340,AT2G20180,AT2G01570,AT2G38310,AT4G18620,AT4G26070,AT5G20960,AT4G36930,AT2G33610,AT2G01830,AT2G28350,AT1G16540,AT5G05440/AT1G72770,AT2G38050,AT3G63010,AT5G25350,AT1G55870,AT4G18130,AT1G54160,AT1G15550,AT1G31930,AT2G26300
AT1G69390	[13]	None	13	AT2G32460,AT2G40220,AT5G63320,AT2G20180,AT1G01060,AT4G17870,AT4G26070,AT2G36270,AT5G46790,AT2G27300,AT5G08620,AT5G52570,AT3G03450
AT1G69460	None	[11]	11	AT2G41430,AT3G63010,AT3G51920,AT3G11240,AT5G57050,AT5G03280,AT1G55870,AT1G15550,AT5G51810,AT5G05700,AT5G44200
AT1G69640	[16]	None	16	AT1G01360,AT1G15100,AT4G09570,AT5G37260,AT1G14920,AT2G20180,AT2G43790,AT2G40330,AT3G24220,AT2G01570,AT5G60410,AT5G20960,AT1G31970,AT2G36270,AT5G35750,AT5G45860
AT1G69670	None	[15]	15	AT2G41430,AT1G72770,AT4G16250,AT5G40280,AT5G57050,AT5G03280,AT3G11410,AT5G13530,AT1G55870,AT3G59220,AT4G18130,AT2G26300,AT5G20910,AT1G10430,AT4G34390
AT1G69680	None	[11]	11	AT3G47620,AT3G54810,AT3G63010,AT2G38050,AT1G22770,AT3G59220,AT2G31660,AT1G48630,AT5G20910,AT5G05700,AT5G13530
AT1G69750	[25]	[11]	36	AT1G66350,AT5G17490,AT3G03450,AT1G52340,AT2G20180,AT2G43790,AT5G53160,AT1G31970,AT5G66880,AT5G08620,AT3G51880,AT5G37260,AT3G24220,AT2G01570,AT5G60410,AT2G46830,AT3G51770,AT3G62090,AT4G33950,AT5G35750,AT5G46790,AT2G40220,AT5G45830,AT4G36930,AT4G01026/AT3G05120,AT1G72770,AT1G13740,AT5G13530,AT1G55870,AT4G18130,AT1G79460,AT2G25490,AT1G31930,AT1G48630,AT2G29090
AT1G69870	[15]	None	15	AT1G01360,AT2G32460,AT2G40220,AT5G63320,AT2G20180,AT4G17870,AT4G11110,AT1G31970,AT2G36270,AT3G04870,AT2G27300,AT3G24650,AT2G01830,AT3G62090,AT5G66880
AT1G69935	[15]	[12]	27	AT3G24220,AT1G01060,AT4G33950,AT2G38310,AT1G31970,AT2G36270,AT3G62090,AT1G48270,AT3G24650,AT2G01830,AT4G36930,AT5G67030,AT1G16540,AT3G03450,AT3G63520/AT2G41430,AT3G63010,AT3G11240,AT5G48870,AT1G80340,AT1G13740,AT5G25350,AT1G55870,AT4G18130,AT1G79460,AT4G25420,AT1G30040
AT1G69960	[14]	None	14	AT3G20770,AT4G09570,AT3G51880,AT4G11110,AT5G20960,AT1G31970,AT3G51770,AT3G04870,AT1G48270,AT3G62090,AT5G35750,AT5G66880,AT2G28350,AT3G63520
AT1G69980	[13]	[11]	24	AT1G78390,AT2G32460,AT3G20770,AT4G09570,AT1G14920,AT2G26040,AT2G20180,AT2G04240,AT2G46830,AT2G27300,AT3G51880,AT5G52570,AT5G05440/AT1G72770,AT4G16250,AT3G51920,AT5G48870,AT5G57050,AT2G21660,AT1G18080,AT2G31660,AT1G79460,AT1G10430,AT5G44200
AT1G70060	[14]	None	14	AT1G78390,AT3G20770,AT5G05440,AT2G20180,AT2G01570,AT5G60410,AT5G45830,AT5G17490,AT1G48270,AT2G27300,AT5G57390,AT1G16540,AT3G03450,AT3G63520
AT1G70150	[15]	[10]	25	AT1G01360,AT1G15100,AT1G78390,AT3G20770,AT5G63320,AT5G52570,AT5G53160,AT2G44950,AT2G38310,AT5G45830,AT3G50500,AT2G33610,AT4G33950,AT3G11540,AT1G16540/AT3G47620,AT3G63010,AT3G11240,AT1G69260,AT3G11410,AT2G23460,AT1G30040,AT1G10430,AT2G29090,AT5G44200
AT1G70190	None	[14]	14	AT3G63010,AT5G40280,AT1G22770,AT5G57050,AT5G03280,AT5G51810,AT1G09570,AT5G25900,AT1G15550,AT1G31930,AT1G48630,AT5G05700,AT4G34390,AT5G44200
AT1G70320	[17]	[10]	27	AT1G15100,AT1G78390,AT5G37260,AT2G43790,AT2G04240,AT1G01060,AT1G66350,AT4G11110,AT5G60410,AT3G51770,AT3G62090,AT3G24650,AT5G35750,AT1G27320,AT3G51880,AT5G52570,AT3G63520/AT3G05120,AT5G40280,AT1G22770,AT3G11410,AT4G18130,AT1G09570,AT1G31930,AT5G51810,AT5G20910,AT4G34390
AT1G70530	None	[10]	10	AT4G16250,AT3G11240,AT5G48870,AT1G22770,AT5G03280,AT1G55870,AT1G09570,AT1G31930,AT5G51760,AT4G34390
AT1G70570	[17]	[13]	30	AT1G52340,AT2G04240,AT2G40330,AT5G53160,AT5G45860,AT2G44950,AT4G11110,AT3G50500,AT3G04870,AT1G03790,AT2G27300,AT3G62090,AT5G57390,AT1G27320,AT5G66880,AT2G28350,AT3G63520/AT3G05120,AT1G72770,AT1G22770,AT5G25350,AT5G03280,AT3G11410,AT5G13530,AT1G18080,AT5G57050,AT1G09570,AT2G23460,AT2G26300,AT4G34390
AT1G70610	None	[15]	15	AT3G05120,AT3G54810,AT5G48870,AT1G80340,AT5G25350,AT5G57050,AT3G11410,AT4G25420,AT1G09570,AT5G25900,AT1G15550,AT5G02310,AT1G30040,AT1G10430,AT5G44200
AT1G70630	[15]	[16]	31	AT1G78390,AT5G37260,AT1G14920,AT2G43790,AT2G04240,AT5G06100,AT4G17870,AT1G66350,AT2G44950,AT4G26070,AT3G51770,AT5G46790,AT5G57390,AT5G66880,AT3G03450/AT1G72770,AT2G38050,AT3G51920,AT1G69260,AT1G80340,AT5G25350,AT5G57050,AT2G30250,AT1G09570,AT1G15550,AT2G23460,AT2G26300,AT1G48630,AT5G05700,AT4G34390,AT5G44200
AT1G70730	[17]	[14]	31	AT4G09570,AT2G40220,AT1G52340,AT2G04240,AT2G01570,AT4G11110,AT5G45830,AT5G17490,AT5G66880,AT3G24650,AT4G33950,AT5G35750,AT1G27320,AT5G67030,AT2G28350,AT1G16540,AT3G03450/AT3G54810,AT4G16250,AT5G40280,AT5G48870,AT5G57050,AT2G21660,AT3G59220,AT4G18130,AT1G79460,AT1G09570,AT5G02310,AT5G20910,AT5G13530,AT5G44200
AT1G70750	[17]	[11]	28	AT1G15100,AT2G32460,AT5G63320,AT1G52340,AT1G14920,AT2G20180,AT2G40330,AT5G53160,AT2G38310,AT2G46830,AT3G51770,AT4G36930,AT5G57390,AT3G11540,AT5G67030,AT1G16540,AT3G63520/AT2G41430,AT1G13740,AT1G22770,AT5G03280,AT5G57050,AT1G55870,AT2G31660,AT1G09570,AT2G23460,AT1G10430,AT5G44200
AT1G70770	[15]	[12]	27	AT4G09570,AT5G05440,AT1G14920,AT4G17870,AT1G66350,AT2G38310,AT2G44950,AT5G45830,AT5G17490,AT3G04870,AT1G03790,AT3G24650,AT5G67030,AT5G52570,AT4G33950/AT2G41430,AT1G72770,AT4G16250,AT1G69260,AT1G22770,AT1G18080,AT2G31660,AT1G09570,AT1G31930,AT5G51810,AT1G48630,AT5G20910
AT1G70980	[18]	[20]	38	AT1G01360,AT1G78390,AT2G32460,AT5G63320,AT1G52340,AT2G26040,AT1G01060,AT2G40330,AT4G17870,AT2G44950,AT1G31970,AT2G36270,AT4G36930,AT2G27300,AT2G01830,AT3G11540,AT5G52570,AT5G46790/AT5G03280,AT1G79460,AT1G31930,AT5G02310,AT3G11410,AT1G18080,AT4G18130,AT3G63010,AT4G25420,AT2G23460,AT2G26300,AT4G34390,AT2G41430,AT1G72770,AT5G48870,AT5G25350,AT2G21660,AT5G25900,AT2G25490,AT1G15550
AT1G71060	None	[12]	12	AT3G47620,AT1G13740,AT1G22770,AT5G03280,AT3G11410,AT5G13530,AT2G21660,AT1G79460,AT1G15550,AT1G31930,AT2G29090,AT5G44200
AT1G71210	[13]	[14]	27	AT5G63320,AT1G14920,AT2G26040,AT4G25700,AT4G18620,AT2G46830,AT1G31970,AT5G20960,AT3G04870,AT2G27300,AT2G01830,AT5G08620,AT5G46790/AT2G41430,AT3G47620,AT3G11240,AT5G48870,AT1G80340,AT5G57050,AT5G03280,AT1G55870,AT2G31660,AT1G79460,AT1G15550,AT5G51760,AT5G20910,AT5G13530
AT1G71270	[18]	None	18	AT1G78390,AT2G32460,AT2G40220,AT3G20770,AT4G09570,AT1G14920,AT5G37260,AT2G26040,AT2G40330,AT4G01026,AT4G11110,AT1G31970,AT3G04870,AT2G33610,AT4G33950,AT1G27320,AT5G46790,AT3G63520
AT1G71310	[18]	[14]	32	AT5G08620,AT1G78390,AT4G09570,AT2G40220,AT5G37260,AT5G63320,AT2G26040,AT2G04240,AT4G01026,AT1G66350,AT2G01570,AT4G11110,AT2G36270,AT3G51770,AT4G18620,AT2G33610,AT5G66880,AT1G27320/AT3G47620,AT4G16250,AT3G51920,AT1G55870,AT3G59220,AT2G31660,AT5G51810,AT1G31930,AT2G23460,AT2G26300,AT5G20910,AT1G10430,AT4G34390,AT5G44200
AT1G71350	[13]	[14]	27	AT2G40220,AT3G24220,AT1G01060,AT1G66350,AT2G44950,AT4G11110,AT3G51770,AT3G50500,AT5G57390,AT4G33950,AT5G35750,AT5G08620,AT5G67030/AT1G72770,AT2G38050,AT3G51920,AT1G69260,AT3G63010,AT5G48870,AT1G18080,AT2G25490,AT1G15550,AT2G23460,AT2G26300,AT2G30250,AT5G20910,AT5G05700
AT1G71430	[16]	None	16	AT1G15100,AT2G32460,AT5G63320,AT1G52340,AT1G01060,AT5G45860,AT2G01570,AT2G38310,AT4G11110,AT1G31970,AT2G36270,AT4G36930,AT5G60410,AT1G27320,AT5G52570,AT3G63520
AT1G71460	[18]	[10]	28	AT2G32460,AT2G40220,AT1G52340,AT1G14920,AT2G26040,AT2G43790,AT5G06100,AT5G53160,AT4G17870,AT1G66350,AT4G11110,AT4G18620,AT2G36270,AT5G60410,AT1G48270,AT3G24650,AT5G46790,AT3G63520/AT1G72770,AT5G40280,AT1G13740,AT1G22770,AT1G18080,AT2G21660,AT1G54160,AT2G25490,AT1G15550,AT2G23460
AT1G71710	None	[11]	11	AT3G47620,AT5G48870,AT5G03280,AT3G11410,AT4G18130,AT2G30250,AT5G25900,AT1G15550,AT2G23460,AT1G48630,AT5G20910
AT1G71720	[15]	[11]	26	AT1G01360,AT1G78390,AT2G26040,AT2G43790,AT5G52570,AT4G18620,AT4G11110,AT4G26070,AT1G31970,AT5G66880,AT5G35750,AT1G27320,AT1G16540,AT3G03450,AT3G63520/AT2G41430,AT3G05120,AT3G54810,AT3G51920,AT5G57050,AT4G18130,AT1G79460,AT2G25490,AT1G15550,AT2G26300,AT2G29090
AT1G71730	[13]	None	13	AT1G15100,AT1G14920,AT2G20180,AT2G43790,AT5G60410,AT5G20960,AT5G45830,AT5G17490,AT1G48270,AT4G33950,AT5G08620,AT2G28350,AT1G16540
AT1G71800	None	[16]	16	AT3G54810,AT1G72770,AT2G38050,AT5G40280,AT1G22770,AT5G25350,AT3G59220,AT2G31660,AT1G79460,AT4G18130,AT2G25490,AT2G23460,AT2G30250,AT5G20910,AT5G13530,AT5G44200
AT1G71810	None	[12]	12	AT1G72770,AT5G25350,AT3G59220,AT2G31660,AT1G79460,AT4G18130,AT1G15550,AT2G23460,AT1G48630,AT5G20910,AT1G10430,AT4G34390
AT1G71820	[14]	[15]	29	AT5G08620,AT1G15100,AT2G32460,AT1G14920,AT1G01060,AT4G01026,AT4G17870,AT5G35750,AT5G53160,AT5G60410,AT3G24650,AT2G01830,AT1G27320,AT5G52570/AT3G54810,AT1G72770,AT2G38050,AT3G51920,AT1G69260,AT1G22770,AT1G80340,AT5G48870,AT5G57050,AT1G55870,AT2G30250,AT2G25490,AT1G15550,AT5G51760,AT1G48630
