ID_REF,log2_RAD_3h,log2_RAD_7h,log2_RAD_12h,log2_RAD_24h,log2_D/G_6h,log2_D/G_16h,log2_D/G_24h,log2_RNA_3H,log2_RNA_15H,log2_RNA_24H
AT1G01010,-0.0704752272951742,-0.1340777546192764,-0.0644322316993364,0.0663565963665715,-0.0396650338796885,0.8827501279963255,1.680365372674152,0.3925603780590415,0.1134391763916334,-0.3685685425520039
AT1G01040,-0.0467642935890324,-0.1719237269237376,-0.1745902776495569,-0.0665114230085666,-0.0864541976795518,0.2320827089328495,1.0206157228584978,-0.0634483074033702,-0.1198840461804502,0.1433118538609606
AT1G01060,0.1224029334450194,-0.1014896572377724,-0.3571249826187417,-0.1323865844119812,0.2022503376459543,-0.207186898173057,0.0732869375348494,0.2842991554480167,0.9550266946157538,1.5123764550756398
AT1G01070,-0.1157706572800717,-0.03953823251329,0.0006617436263077,-0.0097421296840181,-0.0931094043914814,-3.684943381817924,-3.0886781517770032,1.8298274427297,0.6118041668018246,-2.1249534423599337
AT1G01080,-0.0079023872986792,0.0847705522000826,-0.0600552022603268,-0.0500260185221528,0.006643273630614,-0.3009034862479363,-0.9970650335108718,-5.492342050057986,-0.7446399451895714,-1.5838560467443992
AT1G01090,0.0539094050099359,0.0239200610969444,-0.0703571169774555,-0.1474497936903945,-0.0498908530207988,-0.7527173455314126,-0.9543879272618082,-4.145570796816412,-0.6678779411645647,-1.86724934019038
AT1G01110,-0.0619197782752656,-0.0231932355399064,-0.4429079514543225,-0.4682037516636,0.2469511225098378,-1.4355156008395094,-1.784117539021952,-5.314638807568088,-1.3376932455887895,-2.3769165709737914
AT1G01120,-0.0384965535858644,-0.1549772640423687,-0.2742532418194805,-0.4954703057429629,1.8216627587414875,-0.8239187669320527,-1.4610479027419194,0.2875301477036363,-0.7930549340332198,-4.14104462219703
AT1G01130,0.0173983038409195,0.1218110817544261,-0.1075032811902138,-0.1491377716748051,-0.4069179355341631,-0.7147254928220635,-1.6002727250775457,-2.219532738700614,-1.846669188104625,-4.34826698396801
AT1G01140,-0.0398460144057188,0.0690622158778644,-0.6024141274551227,-0.4528459825904037,-0.2901567474426606,-2.018317443051918,-2.132183867827698,-4.4024676830891485,-2.3627567758822563,-2.8310920717479617
AT1G01160,-0.0195911772830481,0.0323310223977075,0.039673677238633,0.0713741669129761,0.0853614089186139,0.5454243170158806,1.6602843954411286,0.2655387936833393,-0.30224494835225,-0.2660275868207511
AT1G01170,-0.0378483175363468,0.023651576273268,0.1585059506042756,0.3454098342105939,0.0585744683703286,0.8360922232454606,1.5671751945027184,1.5381138493777582,0.1974973323699793,0.2479004908773495
AT1G01200,-0.0333494220015227,-0.1672734254186549,-0.2724775665119628,-0.3265974645690027,-0.2375224990482083,-3.0376049536958147,-2.59343218981724,-2.29026569993924,-0.9730127225457046,-2.9451761849736764
