ID_REF,log2_D/G_6h,log2_D/G_16h,log2_D/G_24h
AT3G18850,0.1798569730903653,-0.541359115852703,-0.8753175125544619
AT3G18860,-0.117224888582961,0.0778759212620834,-0.0667205534118664
AT3G18870,-0.1863315722656301,0.2787608258668226,0.723155284126012
AT3G18880,-0.5693339655893078,-0.8690544770734755,-0.943220363834039
AT3G18910,-0.1590759300957054,-0.1343821716026335,0.2749269476788154
AT3G18940,-0.0370366260112919,-0.0952033498444386,-0.1026487238167987
AT3G18970,-0.0917297440972927,-0.1348506059549117,-0.0792329008576752
AT3G19080,-0.0344255563590719,-0.1686750758057926,-0.0828956297485695
AT3G19100,-0.4266643964761377,-0.892023783978706,-1.030182567850577
AT3G19120,-0.1971059797255895,0.1196440237101563,0.4470909287332184
AT3G19200,-2.260441267214857,-2.317534096442334,-1.8835895380053445
AT3G19260,0.117582034885612,-0.3309632745316474,-0.3391657747281477
AT3G19290,0.2469623839832336,1.0294581172269963,2.6448442911473147
AT3G19300,-0.2113837753182601,-1.0084657164632556,-1.5548128900414526
AT3G19330,-0.0562434438857397,-0.2739774241816036,-0.0207610811026604
AT3G19340,-0.0654017248674912,-0.2351268695900379,-0.4769960544536965
AT3G19360,-0.2451330554365484,-1.0945315423221993,-1.3081251983766131
AT3G19390,-1.8333862119480984,0.307181509518176,-3.1994813226525847
AT3G19420,0.0181506224023266,0.2015692644258811,0.5919197451841602
AT3G19440,-0.0928552225781972,-0.6540513211857119,-0.6784959285322758
AT3G19450,0.1056604357518305,-0.2741243899397449,-0.8364218329059075
AT3G19460,0.1454034215870505,0.2761328837608391,0.2955200845029545
AT3G19470,-0.1004420332969415,0.0777009948315841,0.6496028120026021
AT3G19510,0.0219915723063094,-0.0114774246193519,-0.1582067017576904
AT3G19515,-0.002152741072235,0.2248984457940072,0.4401472347909274
AT3G19540,0.1655274988526965,-0.3640563781747344,-0.1352670771025875
AT3G19553,0.2589924318925968,0.3180900035406181,0.6895920546553133
AT3G19580,0.4975208070003852,1.1363214712127805,3.037803380460586
AT3G19590,0.0644475071822465,0.0490528362999931,-0.1519458311441083
AT3G19630,0.0528036889572787,0.1865370351680775,0.8533188199312746
AT3G19660,-0.2240004591215354,1.1128366913197054,3.154650980390363
AT3G19770,-0.0660549100112391,0.2267524312544269,0.508649733140763
AT3G19780,0.0226722463017888,0.0463736126090287,0.2323235667297179
AT3G19790,-0.0647098214286728,-0.8811120586026023,-1.0512296240299452
AT3G19800,-0.089603460889946,0.0087433213652064,0.8107148131142013
AT3G19810,-0.0476177211219291,0.0838390324200348,0.1754728730273921
AT3G19820,0.4906787764059991,-0.1105474859406384,0.753507708532567
AT3G19840,0.0248269711093354,-0.1011703913119399,0.5215491161315072
AT3G19860,0.020663871574606,0.571509313810552,1.286341457387666
AT3G19870,0.0538474320845364,-0.2237934223869588,-0.0568463083658897
AT3G19910,0.0804940446745715,0.8095292932919411,1.7294161645565294
AT3G19930,-0.440861955772591,-1.3668157451223266,-2.1408092243050763
AT3G20020,-0.1125957816417719,-0.5951020437458322,-0.3353055668737699
AT3G20060,-0.0262662837601548,-0.1201322243219291,-0.5756243953400926
AT3G20070,-0.0216355696192279,0.0357527336735716,0.2615700467687568
AT3G20080,-0.0687734197802275,0.1556982577696306,0.5186216534243124
AT3G20090,-0.1110183210465986,0.0152100263802379,-0.0600360544960169
AT3G20130,0.3585759150983748,0.076811799530557,0.4837575714124087
AT3G20140,0.3470042917908297,1.9212880239859595,2.212544635380101
AT3G20240,-0.0046998303719753,-0.4210640248517032,-0.3943909008210545
AT3G20250,0.1570664415725377,0.9435676084636454,3.3300004052812886
AT3G20260,-0.1325458039539673,-0.8820433519051533,-1.1263594459777808
AT3G20280,-0.0166355666029021,-1.1592726108135905,-1.2670753731666535
AT3G20300,-0.0955473257719504,-0.8717954791952488,-1.2260009258484013
AT3G20330,-0.0825309083176143,-0.6268599164483463,-0.790616867624042
AT3G20340,0.3870231231092472,1.429067059182902,3.4580381590561178
AT3G20390,-0.1211991249765581,-0.2117932199758886,-0.4265957380734116
AT3G20410,-0.0505925547180538,0.3792306758905938,0.4615541923692138
AT3G20420,-0.0415899659757985,0.475388928681892,1.946408203408061
AT3G20430,0.00850098199723,-0.2917451846379981,-0.293135911617318
AT3G20480,-0.2123606471813133,0.7481816272086079,1.3611257593632995
AT3G20490,0.0254049352873758,0.2444416453683678,0.1050958364863877
AT3G20500,0.086153366270341,0.5310239811312205,0.7713227234233025
AT3G20510,-0.0512253233551731,0.2775821770304216,-1.160235292703521
AT3G20550,0.0324369290480661,0.4636294915871568,1.8097355737008756
AT3G20560,-0.0089929724866062,-0.1957943807448001,-1.040169382013414
AT3G20630,0.0053223783573008,0.0335153791927183,0.2925939997912175
AT3G20660,-0.0232180804779479,1.1275064785425024,2.715076926593284
AT3G20670,-0.0606431759081026,-0.7956033362484627,-1.854156552104236
AT3G20680,0.0335880682710868,-0.6999060783936025,-1.1157582810433018
AT3G20710,-0.1483976623882402,-0.3051402611442954,-0.361352871937782
AT3G20720,-0.3438124440378794,0.1016726264283162,0.3928321730738019
AT3G20730,-0.214413589828793,-0.3693836135419654,-0.799589200335767
AT3G20740,0.0573289941982397,-0.6909007894785623,-0.4207496576199928
AT3G20770,0.1336730014197688,0.5046625030468985,1.6339843336048578
AT3G20780,0.0783014232301242,-0.3867327211516467,-0.7545955526532091
AT3G20800,0.1110119831591168,-0.0504510101001019,0.0404570676515998
AT3G20810,0.0295603740006293,0.9119516931859386,2.5042493467464624
AT3G20830,-0.0844892959661329,1.3876388907900106,2.123860129099345
AT3G20870,0.0345157734678721,0.0722027332535214,0.0684046154868132
AT3G20930,-0.1527589753358835,0.264459805098441,0.5023571325540912
AT3G20970,0.0276248986024161,0.2008163054147937,0.6320859113065729
AT3G21060,-0.0544827337244045,-0.2482073284161215,-0.0737398674221562
AT3G21070,-0.146989866860866,0.0367553952761167,0.4699976377416098
AT3G21090,0.382291013283298,-0.4098713142700473,-0.4706515526252351
AT3G21110,-0.1796209662481151,-0.228675579607837,0.1544840284835827
AT3G21140,-0.0239959497190423,0.1763389971347558,0.5916751227661876
AT3G21160,0.0666371930302902,0.0114264150075118,-0.6382142637775643
AT3G21175,0.0209265737515481,-0.0649946554283847,0.1119206605982818
AT3G21200,-0.0486583838843996,-0.6700626414843288,-1.1473077263760827
AT3G21220,0.0588707185136186,0.1394117450011218,-0.3393560115712961
AT3G21270,0.5750489785620524,0.3230754262100667,1.2552296153204188
AT3G21290,-0.0916310473473522,0.331393453719532,1.024622292581325
AT3G21300,-0.1510738259211424,-0.3719970505781775,-0.4975308896547964
AT3G21350,0.0273380544683304,0.1287694843439972,0.5635014126611081
AT3G21360,0.1862682253220356,0.453827505635275,1.4235242893392854
AT3G21370,0.2246638791625924,1.5901164934961118,7.993853786293445
AT3G21380,0.6828277570225781,1.6375673602445322,7.922700420273784
AT3G21390,0.0450034942527886,-0.0318154599210432,-0.0238959110507339
AT3G21470,0.0885458101796276,-0.5356319195748892,-0.2415502724337139
AT3G21540,-0.1623503024442712,-0.3148254981280937,-0.0910274265341961
AT3G21560,0.4014480924576482,-0.4342190444870219,-1.3975535894699398
AT3G21580,-0.0856206247798149,0.0776732839296319,-0.0990669997740682
AT3G21610,0.1412036925925265,-0.4228375381426804,-1.0785815293012273
AT3G21630,0.1508995327688381,0.3176913159178129,0.8398564631259516
AT3G21640,0.100012743980007,0.1350882910418235,-0.0437853374633313
AT3G21650,-0.0994186222224249,0.5766193850955202,1.3991792432810193
AT3G21690,-0.2192896345819047,-0.27004151046478,0.0712264093517777
