ID_REF,log2_RAD_3h,log2_RAD_7h,log2_RAD_12h,log2_RAD_24h
AT1G01010,-0.0704752272951742,-0.1340777546192764,-0.0644322316993364,0.0663565963665715
AT1G01040,-0.0467642935890324,-0.1719237269237376,-0.1745902776495569,-0.0665114230085666
AT1G01060,0.1224029334450194,-0.1014896572377724,-0.3571249826187417,-0.1323865844119812
AT1G01070,-0.1157706572800717,-0.03953823251329,0.0006617436263077,-0.0097421296840181
AT1G01080,-0.0079023872986792,0.0847705522000826,-0.0600552022603268,-0.0500260185221528
AT1G01090,0.0539094050099359,0.0239200610969444,-0.0703571169774555,-0.1474497936903945
AT1G01110,-0.0619197782752656,-0.0231932355399064,-0.4429079514543225,-0.4682037516636
AT1G01120,-0.0384965535858644,-0.1549772640423687,-0.2742532418194805,-0.4954703057429629
AT1G01130,0.0173983038409195,0.1218110817544261,-0.1075032811902138,-0.1491377716748051
AT1G01140,-0.0398460144057188,0.0690622158778644,-0.6024141274551227,-0.4528459825904037
AT1G01160,-0.0195911772830481,0.0323310223977075,0.039673677238633,0.0713741669129761
AT1G01170,-0.0378483175363468,0.023651576273268,0.1585059506042756,0.3454098342105939
AT1G01200,-0.0333494220015227,-0.1672734254186549,-0.2724775665119628,-0.3265974645690027
AT1G01220,0.0540596101717201,-0.1768892578921656,-0.1706147109770783,-0.2013600226292383
AT1G01230,-0.0707122101456259,0.0168436766238368,0.1584118306014034,0.2438170454026643
AT1G01240,-0.0774762633829854,0.0525196222965309,0.2811339486382702,0.2417376329781839
AT1G01250,0.1224747150844063,0.4965518353004489,0.6559777137256272,0.7246689869155579
AT1G01260,0.1136328855198024,-0.1334820043086032,-0.1558266542775894,-0.2393232434597243
AT1G01290,0.0984022001837305,-0.0488893416194022,-0.1908463444584726,-0.2422088053807087
AT1G01300,0.0735028762219251,0.2656266677386434,0.0392326657893768,-0.1000540408359899
AT1G01360,-0.0950626935625655,-0.073597619622839,0.1531267404561859,0.3676022485785216
AT1G01370,0.0167635992093788,-0.1853586483389703,-0.2957160221598205,-0.3446475597423959
AT1G01430,-0.0642266240062677,0.1588582258776222,-0.0349815568903433,-0.1270086811218616
AT1G01440,0.156088006116559,-0.1765028299206517,-0.2418264771055371,-0.070334509214257
AT1G01470,-0.009087646794054,0.0209842842748519,0.1552430154834376,0.2655398625920016
AT1G01480,0.0170303684505578,0.1558344496053714,0.4658172913934402,0.7911095831349626
AT1G01520,-0.3918103451793788,0.3679188626585751,0.478997544122058,0.7194695261511466
AT1G01570,-0.0651540281388099,0.1717891976953076,0.2583747596203841,0.1931518540992158
AT1G01600,-0.0948108749891984,0.2189349330392842,0.0032286793230569,-0.320308736667124
AT1G01610,0.063674025213109,0.0583969773476695,-0.5621603105431469,-0.9101423140677408
AT1G01620,0.1073298579290028,0.097773905903105,-0.2450008748492662,-0.4933044048211067
AT1G01630,0.0060520706636646,-0.0852350555862811,0.0603663444248972,-0.0953614048870895
AT1G01640,0.0503836696339462,0.1812964659602231,0.2998443670606562,0.620700075257875
AT1G01650,-0.0058037400453646,0.1787384243509565,0.2609951887275666,0.2126616715390197
AT1G01710,-0.0093274743327341,0.1114775554309823,0.1267480196960524,0.1616932084663802
AT1G01725,-0.0917932033985837,0.1324709035342285,0.1977619842353891,0.4329997680293212
AT1G01770,-0.2018948349639417,-0.1361682589997408,-0.0856569711752715,0.099322768781352
AT1G01780,-0.1792852466868316,-0.0472810222443617,0.070643417512027,0.221397131741122
AT1G01790,-0.0270411642306173,-0.1171514266162323,-0.1087527688728367,-0.1037164756460276
AT1G01800,0.0070832223084547,0.0617674669252838,0.1018847428534616,0.0614792539787834
AT1G01830,-0.0930765495014186,0.0781170697794226,0.0041830178162458,-0.0253955885202636
AT1G01840,-0.0054371105014581,-0.0656007134623063,0.0287908743318281,-0.0218150859879866
AT1G01860,0.0021291372403734,-0.0397449296988124,-0.0756635944951403,-0.0510545664581361
AT1G01920,-0.0696166845382292,0.1051646073269218,0.1440685767816785,0.0712729291046883
AT1G01930,-0.0307707697653148,-0.4228179894237432,-0.3980022947116149,-0.2048978851563466
AT1G01950,-0.0186244897654785,0.0882428409674024,-0.1242485995670438,-0.0503119421260508
AT1G01960,0.1332823434979125,0.0464332235696547,-0.0157379687199778,-0.0183066148629509
AT1G01970,-0.0322914208149889,-0.0393323101759205,0.1547282527774129,0.2733214788926156
AT1G01990,0.0523525724909557,0.0221822041160737,0.0222719200111457,0.1012672731039163
AT1G02050,-0.1062965462728893,-0.1150983507703764,0.0893255878423569,0.1091774050000347
AT1G02060,0.1813777734520748,0.1811776705513128,0.125417372371637,0.2358364007055136
AT1G02090,-0.0310511115631821,-0.2573204753205195,-0.1695430790279223,-0.1540902804690779
AT1G02100,-0.0746458573453126,-0.0313958314144778,-0.0460316290056046,0.0325069485818554
AT1G02120,-0.0364381487320679,-0.043823542631972,0.0632500285353673,0.1358732605541693
AT1G02150,-0.0027714869552733,0.0334977507905083,0.1061295290029431,0.1934648747541558
AT1G02170,0.0287333862042134,-0.0809845095213486,-0.0001142057509089,0.0529941906593383
AT1G02180,-0.1155059862166545,0.17511516789469,0.1600805914179024,0.0863592492605892
AT1G02220,-0.0586486145664082,-0.1627428818111512,-0.2133684999023757,-0.0348711688338677
AT1G02260,-0.0312876965836084,0.1276392388287414,0.0579188841083735,0.147295880571761
AT1G02270,0.0057547581376381,-0.2148373612261577,-0.1873014731680835,0.0258163945649203
AT1G02370,0.07885273333371,0.0390419664094774,-0.108153997593369,-0.1005288795742001
AT1G02390,0.1275113197447988,0.3479288105195409,-0.1676255132970417,-0.2009637846036532
AT1G02410,0.0424432254798897,-0.0187333623893434,-0.111232080306135,-0.0998762762456362
AT1G02450,0.0560322989964268,-0.0995902144212612,-0.0357784764614452,0.0382405845319104
AT1G02470,-0.0235171262588875,0.1600537677654117,0.1627726869982238,-0.0347158972483386
AT1G02475,-0.0332488997462739,0.0117530315330851,0.1157368890552199,0.1755173915031468
AT1G02640,-0.0186018295342704,0.0359277399059096,-0.6363154748714294,-1.0647061992832592
AT1G02660,-0.0514681665461881,0.5120306336776528,0.8060119496010939,0.6456128409505596
AT1G02720,-0.0446714024722012,0.0486549032219038,0.0618310710142215,-0.0376048329749691
AT1G02740,-0.0767224497077521,-0.0583720861863437,0.0523845857180664,0.0270972534187522
AT1G02780,0.0230375249670796,0.0175714685531664,-0.0340553665714736,-0.0969512830051842
AT1G02810,0.1847752832441711,0.4128914792704959,0.0562751266110334,-0.1247477779825786
AT1G02816,0.1021680837406586,0.1154793612607516,0.2977010071810106,0.3472975043383837
AT1G02840,-0.0198251096470568,0.0206277221948482,-0.0032623737028313,0.0437778489882492
AT1G02850,-0.0040964311198704,0.0724484073677267,0.0632344992819874,0.2481318907203717
AT1G02860,-0.0113233088477754,-0.5534471820307948,-0.4452541884572332,-0.2968824133713883
AT1G02870,-0.000880413992382,-0.0500401776611323,-0.0560058878493356,-0.0004479476899496
AT1G02910,-0.129144485067909,-0.0626269284798287,-0.1783301275605048,0.0006805506066198
AT1G02960,-0.2001411663277339,-0.1304679393480194,0.0410102460296832,0.0904518259686559
AT1G03000,0.1106500877738519,-0.0507405782228832,-0.1444208725795435,-0.1615313503732608
AT1G03030,-0.0569095588486846,0.0082048353484952,0.2459132674399685,0.3819046654227364
AT1G03060,-0.1402138382725412,-0.1029050302471112,-0.1781123449214155,-0.1470416850216184
AT1G03080,0.0460445713514473,0.0298751370245347,-0.1701988218697792,-0.5231129258886835
AT1G03090,-0.0427904472694059,0.0975993803914852,0.2799928161251671,0.254745152684322
AT1G03100,0.0701120963863146,-0.031031910182467,-0.0826350464600943,-0.0580786432002904
AT1G03110,0.0452113934520898,0.0069843304534631,-0.1728346835547825,-0.3249854979739192
AT1G03160,0.0868766755354505,-0.0909353712703401,-0.1200135812419188,-0.0866256767476203
AT1G03180,-0.173699731015664,-0.2390604856676029,-0.2035776538242368,-0.1419475714071588
AT1G03190,-0.0107313573671444,-0.2204477611645323,-0.1043866309565928,0.0400307624377569
AT1G03210,-0.0346396393133565,-0.0238603298592429,0.111564602229638,0.1451361713280567
