ID_REF,log2_RNA_3H,log2_RNA_15H,log2_RNA_24H
AT1G01010,0.3925603780590415,0.1134391763916334,-0.3685685425520039
AT1G01020,-0.5936905288986808,-0.9837067594340816,-0.6364712042854788
AT1G01030,-1.0036042045810245,-0.7788795624120013,-0.3285464498184312
AT1G01040,-0.0634483074033702,-0.1198840461804502,0.1433118538609606
AT1G01050,-0.788623381416321,-0.8385939418137545,-1.4526119697678326
AT1G01060,0.2842991554480167,0.9550266946157538,1.5123764550756398
AT1G01080,-5.492342050057986,-0.7446399451895714,-1.5838560467443992
AT1G01090,-4.145570796816412,-0.6678779411645647,-1.86724934019038
AT1G01100,-3.646350709950201,-0.6862760506787515,-1.2312805604279322
AT1G01110,-5.314638807568088,-1.3376932455887895,-2.3769165709737914
AT1G01120,0.2875301477036363,-0.7930549340332198,-4.14104462219703
AT1G01130,-2.219532738700614,-1.846669188104625,-4.34826698396801
AT1G01140,-4.4024676830891485,-2.3627567758822563,-2.8310920717479617
AT1G01160,0.2655387936833393,-0.30224494835225,-0.2660275868207511
AT1G01170,1.5381138493777582,0.1974973323699793,0.2479004908773495
AT1G01180,1.4383963335412586,0.6298267971444661,0.006039957758541
AT1G01200,-2.29026569993924,-0.9730127225457046,-2.9451761849736764
AT1G01210,-1.173567839902116,-0.4243791276485487,-0.7995928867705234
AT1G01220,-2.072293707611404,-0.3802571274822836,-1.2284815868588328
AT1G01225,-0.8523960228514883,-1.6555975340034446,-1.3193974464266258
AT1G01230,0.82335053754787,0.2112248348302241,-0.158391131625016
AT1G01240,1.7906560363759116,-0.2049700129355624,0.4850859921211334
AT1G01250,1.1775358795362827,0.6457071326054765,0.8738383935855567
AT1G01260,-0.4140202345173329,-0.3572533834068082,-0.2626651035831247
AT1G01290,-2.087503374721855,-0.4348903614023007,-0.8380004899596504
AT1G01300,-6.403350028051404,-1.060363419831224,-1.4846424999143315
AT1G01310,-0.1521670479895123,-0.5316389666170221,3.118665826117673
AT1G01320,-3.706208861105921,-0.457573617683112,-1.3035482873893045
AT1G01340,0.3269014131481371,-0.153827664476938,-0.3316261058249105
AT1G01350,0.2010634394234768,-0.6138426108985247,-0.5891483973790483
AT1G01355,4.629930882338189,1.1992034916567986,1.223304222388892
AT1G01360,0.6101452379912534,-0.1738019468992359,0.0560099157708061
AT1G01370,-5.496034258706585,-1.804388808450211,-3.382689515480857
AT1G01420,0.5892255666846185,1.813725114477067,1.4404182045316574
AT1G01430,-2.8152019388414686,-0.620978980214808,-1.5479327031713024
AT1G01440,-0.3104093912332866,-0.3357464203243014,-0.1205751401717149
AT1G01470,6.50598069039839,0.6344267768972096,0.9849814993156248
AT1G01480,4.682400613671882,0.264643360365878,0.7411672424105832
AT1G01490,-2.443191990888094,-1.122468836703507,-1.9032154264480483
AT1G01500,0.6592305512246148,-0.0247294705944625,-0.0146596300352376
AT1G01510,-2.923667340124941,-0.4214980561811812,-0.8319931547868407
AT1G01520,-1.707471684495539,-0.5462425818370784,0.2985275385223275
AT1G01540,-0.6029566948723858,-0.6507359226788021,-0.9122255033127524
AT1G01550,0.8835117565710116,-0.204847516677221,0.150190722624301
AT1G01570,-0.7616431770835886,-0.8870444697447087,-0.3329344631802375
AT1G01580,-0.0600427541226492,1.5718406384571264,0.7139523384917557
AT1G01600,-2.440754734456141,-0.5447809541534858,-2.065348449066514
AT1G01610,-6.292378361623876,-2.183709974181443,-3.825448750240008
AT1G01620,-3.862016181883464,-2.033918468305478,-3.8592582184830695
AT1G01630,-3.2025337426138023,-0.3262046062746057,-1.1802683704225656
AT1G01640,-0.5053218042611174,-0.3804765782816061,-0.7906546204445257
AT1G01650,1.3890469704491393,0.2678116665819443,0.3421620084164538
AT1G01690,-1.3875983807007506,-0.5268390740214647,-1.3588751633604197
AT1G01710,0.0065958741800777,-0.2375843400636791,-0.2178462622103846
AT1G01720,1.9330641736173275,0.274279509071592,0.8760799038600613
AT1G01725,0.3602008222761983,-0.2944021806502117,0.7209140927484615
AT1G01730,0.2937735073707337,-0.0176151513440688,0.0008159026016282
AT1G01740,-2.8965172591243085,-0.0236578290114517,-0.0477979203182197
AT1G01760,-1.876953551747538,-0.1039864412872486,-0.1610117570478013
AT1G01770,-1.27671866987058,-0.1042195804399014,0.1636867230026353
AT1G01780,0.0386007353967488,-0.0257346078092792,-1.1055965530214455
AT1G01790,-5.422133640342404,-1.14724497774234,-2.243845461928504
AT1G01800,-0.3518579856067996,-0.3415107772694881,-0.5852641738819868
AT1G01810,0.3846022490857927,-0.3886678292434432,-1.0320532486344085
AT1G01820,0.5038972409842125,-0.166485357799749,0.0358213119815599
AT1G01830,-2.439898366327102,-0.323804908089659,-0.7129578849176271
AT1G01840,-0.4325812577815335,-0.5776097308992616,-0.564602267824863
AT1G01860,-1.7447150258437103,-0.7059077422911332,-0.5158189079204932
AT1G01880,-0.0103684243283285,0.0442282078670165,0.2371666252607247
AT1G01900,-0.2013553831917738,0.986731899236557,-1.2944994326283346
