ID_REF,log2_RNA_3H,log2_RNA_15H,log2_RNA_24H
AT1G01010,0.3925603780590415,0.1134391763916334,-0.3685685425520039
AT1G01040,-0.0634483074033702,-0.1198840461804502,0.1433118538609606
AT1G01060,0.2842991554480167,0.9550266946157538,1.5123764550756398
AT1G01070,1.8298274427297,0.6118041668018246,-2.1249534423599337
AT1G01080,-5.492342050057986,-0.7446399451895714,-1.5838560467443992
AT1G01090,-4.145570796816412,-0.6678779411645647,-1.86724934019038
AT1G01110,-5.314638807568088,-1.3376932455887895,-2.3769165709737914
AT1G01120,0.2875301477036363,-0.7930549340332198,-4.14104462219703
AT1G01130,-2.219532738700614,-1.846669188104625,-4.34826698396801
AT1G01140,-4.4024676830891485,-2.3627567758822563,-2.8310920717479617
AT1G01160,0.2655387936833393,-0.30224494835225,-0.2660275868207511
AT1G01170,1.5381138493777582,0.1974973323699793,0.2479004908773495
AT1G01200,-2.29026569993924,-0.9730127225457046,-2.9451761849736764
AT1G01220,-2.072293707611404,-0.3802571274822836,-1.2284815868588328
AT1G01230,0.82335053754787,0.2112248348302241,-0.158391131625016
AT1G01240,1.7906560363759116,-0.2049700129355624,0.4850859921211334
AT1G01250,1.1775358795362827,0.6457071326054765,0.8738383935855567
AT1G01260,-0.4140202345173329,-0.3572533834068082,-0.2626651035831247
AT1G01290,-2.087503374721855,-0.4348903614023007,-0.8380004899596504
AT1G01300,-6.403350028051404,-1.060363419831224,-1.4846424999143315
AT1G01360,0.6101452379912534,-0.1738019468992359,0.0560099157708061
AT1G01370,-5.496034258706585,-1.804388808450211,-3.382689515480857
AT1G01430,-2.8152019388414686,-0.620978980214808,-1.5479327031713024
AT1G01440,-0.3104093912332866,-0.3357464203243014,-0.1205751401717149
AT1G01470,6.50598069039839,0.6344267768972096,0.9849814993156248
AT1G01480,4.682400613671882,0.264643360365878,0.7411672424105832
AT1G01520,-1.707471684495539,-0.5462425818370784,0.2985275385223275
AT1G01570,-0.7616431770835886,-0.8870444697447087,-0.3329344631802375
AT1G01600,-2.440754734456141,-0.5447809541534858,-2.065348449066514
AT1G01610,-6.292378361623876,-2.183709974181443,-3.825448750240008
AT1G01620,-3.862016181883464,-2.033918468305478,-3.8592582184830695
AT1G01630,-3.2025337426138023,-0.3262046062746057,-1.1802683704225656
AT1G01640,-0.5053218042611174,-0.3804765782816061,-0.7906546204445257
AT1G01650,1.3890469704491393,0.2678116665819443,0.3421620084164538
AT1G01710,0.0065958741800777,-0.2375843400636791,-0.2178462622103846
AT1G01725,0.3602008222761983,-0.2944021806502117,0.7209140927484615
AT1G01770,-1.27671866987058,-0.1042195804399014,0.1636867230026353
AT1G01780,0.0386007353967488,-0.0257346078092792,-1.1055965530214455
AT1G01790,-5.422133640342404,-1.14724497774234,-2.243845461928504
AT1G01800,-0.3518579856067996,-0.3415107772694881,-0.5852641738819868
AT1G01830,-2.439898366327102,-0.323804908089659,-0.7129578849176271
AT1G01840,-0.4325812577815335,-0.5776097308992616,-0.564602267824863
AT1G01860,-1.7447150258437103,-0.7059077422911332,-0.5158189079204932
AT1G01920,-1.009767863878899,-0.4261484815139211,-0.3891068759396257
AT1G01930,0.2874524408901198,-0.6495928264605069,-0.2162039654718352
AT1G01950,-1.5817536822381395,-0.3272233655982145,-0.7540997223471669
AT1G01960,-1.5522205839999774,-0.0221000883337951,0.0283475696298951
AT1G01970,0.9523011476460876,0.1809809887016096,0.3615993209979783
AT1G01990,0.0792182655362809,-0.0611593871712742,-0.0089823994561032
AT1G02050,-0.9692799885645386,-0.2828631705819317,-0.0659856945005981
AT1G02060,-1.517404178716836,-0.3593056563624519,0.5668801514138604
AT1G02090,0.2724657061849404,0.461569960303442,-0.3225452293562912
AT1G02100,-1.2066731787105809,-0.3406326861280404,-0.1767671619725132
AT1G02120,0.1261913712637782,-0.0664223171367557,-0.0150481329388746
AT1G02150,-0.7356482906226232,-0.2189566836765401,0.3162414766404056
AT1G02170,-0.0313895718736967,-0.2273227116211637,-0.3263487605794615
AT1G02180,-4.081260560059864,-0.8511959526275511,-2.4347437622462973
AT1G02220,-4.484439894238014,-1.5587034501851518,-0.0425630293950006
AT1G02260,0.2203363207163942,-0.0141864135462632,0.4803132862653683
AT1G02270,-0.190776490502807,-0.7161498637580334,-0.2433328006852991
AT1G02370,-1.6604585694049976,0.0772135057439392,-0.1966872695377594
AT1G02390,-3.785144874138266,-1.7914086813459078,-3.351308022946651
AT1G02410,-0.5669804478218979,-0.5881770469546442,-0.7533013230966498
AT1G02450,-3.153919229770567,-1.863868482731475,-0.7669407581351393
AT1G02470,-4.091719138469221,-0.8105763047304022,-2.6516760496951406
AT1G02475,-0.4618680919312272,-0.5552193598083196,-1.3057806814224022
AT1G02640,-8.117347491968099,-4.703297008353384,-5.290060473626782
AT1G02660,2.5014395750447003,0.7371750702486606,0.6205474493624624
AT1G02720,-2.514707902216659,-0.944763894940614,-1.6928102975956814
AT1G02740,-0.8557622561101075,-0.471585603324923,-0.4056773383317878
AT1G02780,-4.238993101028206,-0.6361306781793927,-1.2440970976445924
AT1G02810,-3.5097762698087807,-1.8352496925819528,-3.366299580365056
AT1G02816,1.3593066644954983,0.2915287554566418,0.5865725146670786
AT1G02840,-1.1845256440025436,-0.4782322907121889,-0.4825658677179588
AT1G02850,0.3969180487096896,0.0274233783909012,0.3953186406532264
AT1G02860,-1.043433672987759,-0.9318558877201324,-0.7735578344488206
AT1G02870,-1.114598217355428,-0.5212805472951335,-1.0691511339921038
AT1G02910,-0.7110096018752716,-0.2492492011825943,-0.5855642885750071
AT1G02960,-0.8526140188938911,-0.733614386687417,-0.3572220397632814
AT1G03000,-1.6419870052079633,-0.3881673797216995,-0.7293191016520646
AT1G03030,0.685950852756084,0.079772244543294,0.3879258989238379
AT1G03060,-0.9941056968740428,-0.2670377446927491,-0.2025257905716848
AT1G03080,-2.4248885200482584,-1.090984403401661,-0.6386546161494481
AT1G03090,0.225612234553604,0.1504841070554333,0.5886887620863117
AT1G03100,-1.1583002193033158,-0.480821284801674,-0.3791962789324352
AT1G03110,-3.159076286637626,-0.5749472739586241,-1.57336141798035
AT1G03160,-1.9144500639554336,-0.2624166160987612,-0.2427578439510025
AT1G03180,0.0256009250173814,-0.2032764836016592,-1.2524976642800922
AT1G03190,0.170973442398274,-0.2069192076123297,-0.2037603402242485
