ID_REF,log2_D/G_15h,log2_D/G_24h
AT1G01010,-0.4590779728414299,-0.2534908041723199
AT1G01020,-0.0884250798524397,-0.3184454936728
AT1G01030,-0.7811479062460841,-0.7597810387042352
AT1G01040,-0.2135246183149695,0.3111305866658699
AT1G01050,-0.4090145074773296,-0.5268526864302698
AT1G01060,-0.5668755249681303,0.9233109073496204
AT1G01080,-1.10996827875239,-0.8531547595376799
AT1G01090,-0.6636205392316097,-0.5053321267391401
AT1G01100,-0.5370094657220508,-0.5434928886811699
AT1G01110,-1.4687827220913638,-1.7157189545158398
AT1G01120,0.0181159724363801,-0.6450986210033798
AT1G01130,0.1043832417937241,-0.224235752105018
AT1G01140,0.70239482235086,-1.1443281395262404
AT1G01160,-0.0601205098294199,0.3045404338603203
AT1G01170,-0.1439590612441501,0.2757745553047
AT1G01180,1.56500136357009,0.8378677933838802
AT1G01200,0.07858773171942,-0.3983626112735089
AT1G01210,-0.83940262658062,-0.6619242573170505
AT1G01220,0.0012097652180101,0.1597653215132696
AT1G01225,0.9844160858303318,-0.177391649312279
AT1G01230,0.35841481257932,0.6010854101063101
AT1G01240,0.6668031569253596,1.1410139125629195
AT1G01250,-0.0903915137742001,2.00442475701971
AT1G01260,0.7125957904138902,0.3083995258800199
AT1G01290,-0.79417146113635,-0.4954243656642496
AT1G01300,-0.7112870986450304,-1.4857967466729995
AT1G01310,0.046516447041293,0.1262936429357068
AT1G01320,-1.62896557556373,-0.2714326875616101
AT1G01340,1.2459081297591,1.5954981391107517
AT1G01350,0.62423270405559,0.2919877459837996
AT1G01355,0.9683919961867696,2.0194284458147385
AT1G01360,0.9235649848170402,0.6514903247781404
AT1G01370,0.0391877555102411,-0.926903223786416
AT1G01420,0.1571985627685639,1.419372340267296
AT1G01430,-0.6619279096512498,-0.2948020556595003
AT1G01440,0.4426449468277801,0.1911059631544601
AT1G01470,0.6621687996368203,1.304646494666421
AT1G01480,1.85304314456632,2.35304925475234
AT1G01490,-0.8551482746164698,-0.0766594910043697
AT1G01500,0.5317803732502302,1.1020273116248296
AT1G01510,-0.47895182103797,-0.3060923429039999
AT1G01520,-0.83244438892824,0.8262068913532801
AT1G01540,-0.2150642889520601,0.25505891486151
AT1G01550,0.7031711255896402,0.7490903971817795
AT1G01570,0.0600012856883063,-1.23603383747876
AT1G01580,-0.07217907681349,0.6645684239796505
AT1G01600,0.1403617017388801,0.6334632094281798
AT1G01610,-0.6267247247701998,-1.14928615623492
AT1G01620,-2.11087296173297,-0.4617242372969098
AT1G01630,-0.4473687209094499,-0.9430529671096404
AT1G01640,-0.03847809628573,0.0863211814425999
AT1G01650,0.4970088294243799,0.6271874652136697
AT1G01690,-0.8548173841229411,0.3002399595015999
AT1G01710,0.1874541707966798,0.1750813320484202
AT1G01720,1.1225723915596806,1.3277225019892605
AT1G01725,0.8125383793066703,0.8368210254867399
AT1G01730,0.2621451260465407,0.3815102881248302
AT1G01740,-0.9715455022788696,-0.1572582374737501
AT1G01760,0.4678815436303871,0.0011913908283796
AT1G01770,-0.5552459970033302,-0.1230164252929299
AT1G01780,-0.1755069071371904,-0.3091196563504101
AT1G01790,-1.04848439060667,0.0451196374175898
AT1G01800,-0.2836543485455705,-0.3690975474952501
AT1G01810,0.1663918604064503,-0.04400579106666
AT1G01820,0.0989305907966101,0.3775849266667101
AT1G01830,-1.658184721426341,-0.6588499497465801
AT1G01840,-0.4344822987852599,-0.4805283199501899
AT1G01860,-0.1239901998922498,-0.3117065736275395
AT1G01880,0.1860323108870299,-0.0134145546554201
AT1G01900,-0.0869335807790121,0.8806288002268401
AT1G01910,0.2375725070885198,-0.2973393673008003
AT1G01920,-0.08296340233224,-0.0550487629081093
AT1G01930,0.5062241352203198,0.3211794090072998
AT1G01940,0.2226777284313306,-0.2018414096422498
AT1G01950,-0.95034979029857,-0.3097400689686704
AT1G01960,-0.3269998850752804,0.4246363961381999
AT1G01970,0.4533418995775599,0.0948191105607295
AT1G01990,-0.0197166445002502,0.1919670609736005
AT1G02000,0.7779665454922801,-0.682831437927583
AT1G02010,-0.01581517580602,0.1149784128081201
AT1G02020,0.1862386033846998,0.7301460871594602
AT1G02050,0.122959178667,0.46101252444178
AT1G02060,-0.1037697256410598,0.4625868666963899
AT1G02080,0.3516573689822103,0.6604411304030098
AT1G02090,0.4611230769773298,-0.1240722643223293
AT1G02100,0.0755357847027094,0.0748531753383306
AT1G02110,-0.3154978860367796,0.1118656148045299
AT1G02120,0.3333676452749606,0.6172235549934297
AT1G02130,-0.04391904961423,-0.2481514144067605
AT1G02140,0.0654506729804094,-0.0591220681432503
AT1G02145,-0.6440491769196401,-0.0143123705259497
AT1G02150,-0.0783320529513595,-0.0094901072954502
AT1G02160,-0.05335854141142,0.0849357514219101
AT1G02170,0.8855689690209402,0.25676046890557
