ID_REF,log2_D/G_6h,log2_D/G_16h,log2_D/G_24h
AT3G15610,0.0636772424741128,0.2065437275854461,0.0011526337476447
AT3G15620,-0.0146467759644014,-0.192312161120591,-0.8512393478583423
AT3G15630,-0.1700483983581717,-0.4825320838728454,-1.216311100364847
AT3G15640,-0.0165746923940154,-0.7293657908501092,-1.1413057838975096
AT3G15660,-0.0477727379725985,0.1900448159611499,0.3688849093946822
AT3G15670,0.3137078287688129,1.4472414287350888,7.462368388847953
AT3G15680,0.2219609340350717,-0.5942140046918498,-1.0422226428050252
AT3G15690,0.1233706851042673,-0.5013385427748852,-0.6330465806980472
AT3G15710,0.4555239455257142,-1.2770871851960754,-1.6555380964515527
AT3G15720,0.2402490859174917,-3.5698198625637163,-2.7666855561089467
AT3G15730,0.0511009639464496,-0.1282299819986657,-0.675415364612371
AT3G15750,0.2729411716864584,-0.2904557141030663,0.2329120989178512
AT3G15770,0.1743815305385386,-0.3314103083284948,-0.2226955109800379
AT3G15780,0.1182764006499531,1.1050757057511131,3.46689496174926
AT3G15790,0.5311421435395004,1.126701400985908,2.990032371298097
AT3G15810,0.1539095291911029,-0.8305002587054652,-1.191139290266935
AT3G15820,0.4494915556079699,-1.766103648451087,-1.832256603450781
AT3G15840,-0.0711496415010316,0.236613183702334,0.7044640690321562
AT3G15850,-0.1461111404288906,-0.1113982310287125,0.0425345486627054
AT3G15880,-0.0017308568182698,0.0105991501232077,0.4570906155340071
AT3G15890,-0.3046090338292156,-0.3906024219922842,-0.0198287382737188
AT3G15900,0.2636676528716746,0.3779621298016903,1.0178309830787828
AT3G15920,0.0057391189007586,0.4221663629002073,1.201885483180481
AT3G15930,0.0152291531051965,-0.1585265393838856,0.0709835160051262
AT3G15940,0.1911437226762658,-0.5878710335851829,-1.4240511202370056
AT3G15950,-1.3495844377902275,-1.418423005727654,-2.063179948770907
AT3G15970,0.0101429184481392,0.397020295586971,1.1442632880179808
AT3G15980,0.1182617688460627,-0.4702790439367803,-0.8609456278573386
AT3G15990,-1.7373759753497129,-1.7404189864293882,-1.5682082941562283
AT3G16000,-0.0598718610340801,-0.7893367350948228,-1.2146984632018016
AT3G16010,-0.0678397458202483,-0.2927783292265871,0.0478735537284217
AT3G16030,-0.1940333972548786,0.6226380928455276,1.7375826579227855
AT3G16050,0.1382967740835389,0.0899029720914596,0.1050789954979775
AT3G16060,0.1504543742111223,-0.2926261876839952,-0.8294932858698809
AT3G16080,-0.1748475852028678,-1.160184982274088,-1.5204584094064002
AT3G16090,0.0756865639202059,0.0378457844538855,0.2541265268669159
AT3G16100,-0.1505797030197751,-1.8187680319651296,-2.393565052839857
AT3G16110,0.0503596166080691,0.5386167793904046,0.5679530507059982
AT3G16120,0.5665605796857974,1.4296333737578708,8.36029235175025
AT3G16140,0.1163563199033489,0.5530265408359385,2.7944269845729792
AT3G16150,-1.256328089368567,-3.7804207908380087,-2.3013889488690595
AT3G16170,0.0986058151515518,0.0812551130527033,0.323849101081694
AT3G16180,-0.0547429645944318,-1.7971330255344904,-1.850094648038756
AT3G16190,0.0059740387289988,0.5580469827947888,1.4085311739734094
AT3G16200,-0.0673187500358485,0.1943007884619236,-0.1393790446645188
AT3G16220,0.0359742424223711,0.5439713807188521,1.3273474011181703
AT3G16230,0.1211214320251683,0.370373975009108,0.9348143786397995
AT3G16260,-0.1563942764706165,0.0200854575070507,0.3821760134919948
AT3G16270,0.0499483750908427,0.3772748642284681,0.6783325432876306
AT3G16290,-0.0137032896279364,-0.4459418921454217,-0.8733792286083554
AT3G16300,-0.0221780970651476,-1.3272159262471248,-0.6520390945717185
AT3G16310,-0.1062021815485239,0.1042589256530846,0.5283542585226235
AT3G16320,0.1280353858291869,0.4630782643207985,0.2079282122472461
AT3G16330,0.0375639551443831,-3.2332238696158817,-2.5855951229811893
AT3G16340,-0.3743113042374109,0.438121112391885,0.417097021457138
AT3G16350,-0.1928609048619229,-0.4589603293509515,-0.2063206728518234
AT3G16400,4.002815015607054,-1.0350109449021545,-1.867795984521016
AT3G16420,0.0371414040331237,-1.5981845432365855,-2.179653178954785
AT3G16480,0.0333333137262358,-0.5019205237497719,-0.6027099946948286
AT3G16490,0.5508381292785279,0.2585252927961359,0.3963864829655323
AT3G16500,-0.0573001688764757,-0.977611794070162,-1.2720799427665663
AT3G16510,0.6621107646008665,0.2081820622618068,-0.2512218146494537
AT3G16520,-0.1516748057848168,-0.4651332934005489,-0.6059907474880786
AT3G16530,0.2679667013760243,-0.9549848838095636,-0.0692174418487455
AT3G16560,0.3462643927344195,-0.9829956385190882,-1.934732647052756
AT3G16565,-0.1128465099693706,0.2458052174026133,0.3681422789654342
AT3G16570,0.3378696387563841,-0.2440296021399567,-0.4397927498228469
AT3G16590,-0.4254522114993359,0.3786863788763636,1.9195557603765865
AT3G16610,-0.313408979795826,0.1190526716437635,0.325758161272911
AT3G16620,-0.0640987579850023,-0.0850110402319763,0.2130442804497636
AT3G16630,0.0136011237390107,-0.3020906873008324,-0.8407297252618565
AT3G16640,-0.0501639458456802,0.2558881358994458,0.8477369359904633
AT3G16650,0.0832427393753356,-0.1825383240217917,-0.1364585824705981
AT3G16700,-0.445997808462289,0.612719623561674,-0.409845044876204
AT3G16710,0.3757916039932895,0.0444531313245478,0.3843279726371584
AT3G16720,-0.3345018016522205,0.2578703166911641,0.8148327498751353
AT3G16730,0.0554575508206164,0.4791431454284262,1.3184278461347487
AT3G16740,0.0112891647640072,0.1958024314520782,0.5263026189250671
AT3G16750,-0.1564606277953135,-0.0222850674406679,0.568631823151321
AT3G16760,-0.0118588052473346,-0.449288927849739,-0.90639574393932
AT3G16770,0.1361155854005543,0.7292885762461586,2.6073729190601576
AT3G16780,-0.1295010794904648,-0.9335665578479876,-1.2025210895484424
AT3G16785,-0.065333559209224,0.2744266620812212,0.6082893796447414
AT3G16800,-0.325060984372325,0.9381205524133216,2.6983443001388987
AT3G16810,-0.1867259671224294,-0.2905159847635591,-0.1215903166798466
AT3G16830,-0.1062759532775609,0.0912777029775226,0.4683035564025961
AT3G16840,-0.1152352443422809,-0.0949508136875463,0.4569062252264035
AT3G16850,0.0617611059984642,0.7948168952853727,1.355424466636911
AT3G16857,0.0528278237567737,0.3059234325855456,0.7141386716559363
AT3G16860,0.0099334350675461,1.429369974009464,0.3044103336293329
AT3G16870,-0.1648258731464796,-0.8049455813076949,-0.854508466521429
AT3G16890,-0.0689311923718738,0.1561599251057906,0.2911998838284685
AT3G16910,0.1089616561719528,0.8266994938534215,1.910394898425792
AT3G16940,-0.0311896135152246,0.5545748743959485,1.9898631417576207
AT3G16950,-0.1800795321816406,-0.9468919855550856,-0.7032985703252022
AT3G16980,-0.0572151606025717,-0.2420331049045595,-0.0362659379669384
AT3G16990,0.2804333880087195,1.249417617798695,2.481567584959887
AT3G17000,0.2055648705704625,0.4326618102117816,1.2105527984531577
AT3G17020,0.069829836246257,0.4845187612942018,0.3564438958629752
AT3G17030,-0.0516431789265495,0.4482929222776441,0.8914276959366927
AT3G17040,-0.0572748053517489,0.1493928923488951,0.356693513048039
AT3G17090,-0.0081855565346905,-0.0940926390735861,-0.1035246762974145
AT3G17100,0.2530428583406106,-1.9436132182098087,-2.0988690293059653
AT3G17120,-0.0853047330829306,-0.6370637665872534,-0.4732145932716832
AT3G17160,-0.0563481725981622,0.1682352737425004,0.3039445101384779
AT3G17170,-0.1599498513707422,0.0201922097823375,0.1620230751410971
AT3G17205,0.0184021692021346,0.3606479054359275,0.9678684744928796
AT3G17210,0.0449567559209806,0.3462789767852776,0.2364412131675316
AT3G17240,0.0302707284326234,0.0838155532272546,0.1029753512729816
AT3G17250,0.0371155133239682,-0.0863947570141591,-0.0614259296998345
AT3G17280,0.3657689610520276,0.5267478867758605,1.6102636933160346
AT3G17300,-0.0095918078724315,-0.4380987836794153,-0.9321594242382042
AT3G17310,-0.1362504645037326,0.3243834812560192,0.974366165800302
AT3G17330,-0.107427565955564,-0.3922818450413474,-0.4612306092464098
AT3G17340,-0.1006047639155835,-0.426728173266765,-1.0367855778104105
AT3G17350,0.3083463824445127,-0.6265306712788585,-1.1513147399456962
AT3G17360,-0.0935819433043564,-0.1967773195217843,-0.9122520881001134
AT3G17365,0.1145606140920094,0.5385360675217706,0.9144382033302724
AT3G17390,-0.4157900280170094,-1.6520389140780156,-1.9219032219534684
AT3G17410,0.0667832357190068,0.0914994845244029,0.704981550649482
AT3G17420,0.1560076073131971,-1.011049349186869,-1.6117317203978958
AT3G17430,-0.060599936354134,-0.5109409588877871,-0.995424607996416
AT3G17440,0.0693592507869629,0.1142478065447537,0.2520663467018413
AT3G17450,-0.0204970433200124,-0.1779070740598836,0.3313689312661445
AT3G17460,0.0581928497914942,0.5977912498777337,1.4526232150302256
AT3G17465,-0.1408273127060085,-0.3179383173146375,-0.3186323430204609
AT3G17470,0.0361860646391524,0.0202313308657951,-0.239545593263446
AT3G17510,0.0377030393053491,0.4271289774823456,0.4567562716947986
AT3G17520,0.430127556077769,1.5175997655678577,8.406918806930008
AT3G17590,0.0192843487509153,0.3540029406302968,1.1199915720045306
AT3G17609,-0.4721163735868633,0.0207585601667971,-0.6874774113470905
AT3G17611,-0.0231970719284233,-0.4330195784871296,-0.0853494709082774
AT3G17626,-0.0503581050710136,0.497316989497152,1.4098399800000607
AT3G17630,0.1347857953695594,0.4085067746168432,1.4284038157209316
AT3G17640,0.3125902303080262,-0.3892283129292384,0.0064215018816982
AT3G17650,-0.5700284497576197,-1.4464012508312327,-1.4645107546479217
AT3G17668,0.2255375067571066,0.925360059753543,3.155794672607424
